,jur_stn,연도,총 1인가구 수
0,서울수서경찰서,2017,20264.0
1,서울수서경찰서,2018,20383.0
2,서울수서경찰서,2019,20502.0
3,서울강남경찰서,2017,44473.0
4,서울강남경찰서,2018,45774.0
5,서울강남경찰서,2019,47075.0
6,서울종로경찰서,2017,33123.0
7,서울종로경찰서,2018,34042.0
8,서울종로경찰서,2019,34961.0
9,서울혜화경찰서,2017,39053.0
10,서울혜화경찰서,2018,40058.0
11,서울혜화경찰서,2019,41063.0
12,서울남대문경찰서,2017,3454.0
13,서울남대문경찰서,2018,3473.0
14,서울남대문경찰서,2019,3492.0
15,서울중부경찰서,2017,17171.0
16,서울중부경찰서,2018,17884.0
17,서울중부경찰서,2019,18597.0
18,서울방배경찰서,2017,10671.0
19,서울방배경찰서,2018,10750.0
20,서울방배경찰서,2019,10829.0
21,서울서초경찰서,2017,29403.0
22,서울서초경찰서,2018,30613.0
23,서울서초경찰서,2019,31823.0
24,서울서부경찰서,2017,21096.0
25,서울서부경찰서,2018,21874.0
26,서울서부경찰서,2019,22652.0
27,서울은평경찰서,2017,28408.0
28,서울은평경찰서,2018,30414.0
29,서울은평경찰서,2019,32420.0
30,서울성북경찰서,2017,33466.0
31,서울성북경찰서,2018,34379.0
32,서울성북경찰서,2019,35292.0
33,서울종암경찰서,2017,22341.0
34,서울종암경찰서,2018,23329.0
35,서울종암경찰서,2019,24317.0
36,서울강서경찰서,2017,68237.0
37,서울강서경찰서,2018,73011.0
38,서울강서경찰서,2019,79371.0
39,서울중랑경찰서,2017,47543.0
40,서울중랑경찰서,2018,49207.0
41,서울중랑경찰서,2019,52196.0
42,서울동작경찰서,2017,54355.0
43,서울동작경찰서,2018,56872.0
44,서울동작경찰서,2019,60088.0
45,서울강동경찰서,2017,41050.0
46,서울강동경찰서,2018,42126.0
47,서울강동경찰서,2019,45188.0
48,서울강북경찰서,2017,39082.0
49,서울강북경찰서,2018,40872.0
50,서울강북경찰서,2019,42791.0
51,서울관악경찰서,2017,106865.0
52,서울관악경찰서,2018,112733.0
53,서울관악경찰서,2019,119863.0
54,서울광진경찰서,2017,54866.0
55,서울광진경찰서,2018,56337.0
56,서울광진경찰서,2019,58714.0
57,서울구로경찰서,2017,42984.0
58,서울구로경찰서,2018,44151.0
59,서울구로경찰서,2019,47740.0
60,서울금천경찰서,2017,32928.0
61,서울금천경찰서,2018,34564.0
62,서울금천경찰서,2019,37778.0
63,서울노원경찰서,2017,49265.0
64,서울노원경찰서,2018,51280.0
65,서울노원경찰서,2019,53365.0
66,서울도봉경찰서,2017,29469.0
67,서울도봉경찰서,2018,30848.0
68,서울도봉경찰서,2019,32653.0
69,서울동대문경찰서,2017,54030.0
70,서울동대문경찰서,2018,55593.0
71,서울동대문경찰서,2019,58152.0
72,서울마포경찰서,2017,54162.0
73,서울마포경찰서,2018,56837.0
74,서울마포경찰서,2019,59248.0
75,서울서대문경찰서,2017,43418.0
76,서울서대문경찰서,2018,44795.0
77,서울서대문경찰서,2019,46449.0
78,서울성동경찰서,2017,39067.0
79,서울성동경찰서,2018,40706.0
80,서울성동경찰서,2019,41488.0
81,서울송파경찰서,2017,58848.0
82,서울송파경찰서,2018,63451.0
83,서울송파경찰서,2019,68861.0
84,서울양천경찰서,2017,33088.0
85,서울양천경찰서,2018,34304.0
86,서울양천경찰서,2019,36345.0
87,서울영등포경찰서,2017,51151.0
88,서울영등포경찰서,2018,53477.0
89,서울영등포경찰서,2019,58214.0
90,서울용산경찰서,2017,33076.0
91,서울용산경찰서,2018,34240.0
92,서울용산경찰서,2019,35148.0
93,경기수원중부경찰서,2017,41116.0
94,경기수원중부경찰서,2018,42710.0
95,경기수원중부경찰서,2019,44304.0
96,경기수원서부경찰서,2017,28612.0
97,경기수원서부경찰서,2018,29804.0
98,경기수원서부경찰서,2019,30996.0
99,경기수원남부경찰서,2017,52811.0
100,경기수원남부경찰서,2018,57117.0
101,경기수원남부경찰서,2019,61423.0
102,경남마산동부경찰서,2017,20165.0
103,경남마산동부경찰서,2018,20069.0
104,경남마산동부경찰서,2019,20331.0
105,경남마산중부경찰서,2017,21519.0
106,경남마산중부경찰서,2018,21903.0
107,경남마산중부경찰서,2019,23383.0
108,경남창원중부경찰서,2017,26038.0
109,경남창원중부경찰서,2018,27203.0
110,경남창원중부경찰서,2019,28368.0
111,경남창원서부경찰서,2017,20665.0
112,경남창원서부경찰서,2018,21387.0
113,경남창원서부경찰서,2019,22109.0
114,경남진해경찰서,2017,19022.0
115,경남진해경찰서,2018,19964.0
116,경남진해경찰서,2019,20962.0
117,경남진주경찰서,2017,41623.0
118,경남진주경찰서,2018,42140.0
119,경남진주경찰서,2019,44003.0
120,충남세종경찰서,2017,31472.0
121,충남세종경찰서,2018,35763.0
122,충남세종경찰서,2019,39078.0
