,jur_stn,총인구수 (명)
0,서울수서경찰서,224260
1,서울강남경찰서,314971
2,서울종로경찰서,75068
3,서울혜화경찰서,74316
4,서울남대문경찰서,22617
5,서울중부경찰서,102623
6,서울방배경찰서,131711
7,서울서초경찰서,293415
8,서울서부경찰서,196042
9,서울은평경찰서,283793
10,서울성북경찰서,246530
11,서울종암경찰서,190623
1,서울용산경찰서,230040
2,서울성동경찰서,293556
3,서울광진경찰서,346682
4,서울동대문경찰서,342837
5,서울중랑경찰서,394702
6,서울강북경찰서,308055
7,서울도봉경찰서,325257
8,서울노원경찰서,523037
9,서울서대문경찰서,312173
10,서울마포경찰서,371890
11,서울양천경찰서,454251
12,서울강서경찰서,580185
13,서울구로경찰서,404408
14,서울금천경찰서,231733
15,서울영등포경찰서,379480
16,서울동작경찰서,391220
17,서울관악경찰서,495060
18,서울송파경찰서,667960
19,서울강동경찰서,459970
0,충남세종경찰서,355831
1,경기수원중부경찰서,383666
2,경기수원남부경찰서,509814
3,경기수원서부경찰서,292598
4,경남마산동부경찰서,191289
5,경남마산중부경찰서,175716
6,경남창원서부경찰서,194417
7,경남창원중부경찰서,282561
8,경남진해경찰서,192755
9,경남진주경찰서,348096
