,Unnamed: 0,19세 이하,20 ~ 34세,35 ~ 59세,60세 이상
0,서울서부경찰서,48561,15383,52463,71341
1,서울강서경찰서,43743,21221,76671,105084
2,서울성북경찰서,34363,11267,40341,57460
3,세종경찰서,13824,3147,12756,17874
4,서울영등포경찰서,14291,4965,27787,42434
5,서울용산경찰서,12180,3455,21583,32765
6,수원중부경찰서,54994,14146,63160,82665
7,서울동대문경찰서,26725,8825,39066,60913
8,서울관악경찰서,30517,14156,48673,63013
9,서울강북경찰서,40657,14166,54794,69957
10,서울광진경찰서,25059,7424,28059,32091
11,서울강동경찰서,26182,8745,34526,41823
12,진주경찰서,38161,9848,44325,46154
13,서울종로경찰서,6604,2155,12664,22408
14,서울송파경찰서,31969,10612,33782,40033
15,창원중부경찰서,76386,17619,86290,108663
16,서울노원경찰서,53212,27256,90159,114484
17,서울서초경찰서,13609,5693,16649,21707
18,서울서대문경찰서,22177,6467,23246,35914
19,서울중랑경찰서,48897,12032,54011,67751
20,서울양천경찰서,34353,9758,35547,46213
21,서울마포경찰서,16051,8078,25907,37847
22,서울중부경찰서,7397,2133,13901,23622
23,서울동작경찰서,19659,7501,27251,39287
24,서울구로경찰서,22181,6584,26635,39943
25,서울수서경찰서,23317,12601,36713,53373
26,서울성동경찰서,17742,6463,25887,34515
27,서울금천경찰서,23773,8196,33613,42754
28,서울도봉경찰서,35606,10465,36914,43336
29,서울은평경찰서,48561,15383,52463,71341
30,서울종암경찰서,34363,11267,40341,57460
31,수원남부경찰서,54994,14146,63160,82665
32,서울혜화경찰서,6604,2155,12664,22408
33,창원서부경찰서,76386,17619,86290,108663
34,서울방배경찰서,13609,5693,16649,21707
35,서울남대문경찰서,7397,2133,13901,23622
36,서울강남경찰서,23317,12601,36713,53373
37,마산중부경찰서,76386,17619,86290,108663
38,마산동부경찰서,76386,17619,86290,108663
39,진해경찰서,76386,17619,86290,108663
40,수원서부경찰서,54994,14146,63160,82665
