,year,police,dead_num,dptt,age_stndrd_dptt
0,2017,서울종로경찰서,12,15.9,12.4
1,2017,서울중부경찰서,7,11.5,6.4
2,2017,서울용산경찰서,16,14.2,12.8
3,2017,서울성동경찰서,17,11.3,8.5
4,2017,서울광진경찰서,17,9.4,9.5
5,2017,서울동대문경찰서,9,5.2,4.1
6,2017,서울중랑경찰서,31,15.3,11.9
7,2017,서울성북경찰서,27,12.0,10.9
8,2017,서울강북경찰서,21,12.9,10.0
9,2017,서울도봉경찰서,29,16.7,11.6
10,2017,서울노원경찰서,40,14.0,11.4
11,2017,서울서부경찰서,36,14.6,13.4
12,2017,서울서대문경찰서,15,9.5,7.8
13,2017,서울마포경찰서,29,15.0,12.9
14,2017,서울양천경찰서,19,8.0,8.4
15,2017,서울강서경찰서,40,13.2,11.8
16,2017,서울구로경찰서,20,9.7,9.0
17,2017,서울금천경찰서,17,14.9,11.9
18,2017,서울영등포경찰서,19,10.5,8.8
19,2017,서울동작경찰서,24,11.9,9.1
20,2017,서울관악경찰서,28,11.4,10.0
21,2017,서울서초경찰서,24,10.6,9.8
22,2017,서울수서경찰서,35,12.2,10.9
23,2017,서울송파경찰서,49,14.6,13.9
24,2017,서울강동경찰서,24,11.0,9.7
25,2017,세종경찰서,9,6.9,6.6
26,2017,수원중부경찰서,20,13.7,12.2
27,2017,수원남부경찰서,23,13.5,12.2
28,2017,진주경찰서,22,12.6,8.6
29,2017,창원서부경찰서,18,14.6,13.6
30,2017,창원중부경찰서,15,13.4,13.9
31,2017,마산중부경찰서,13,14.4,11.6
32,2017,마산동부경찰서,7,6.9,7.1
33,2017,진해경찰서,10,10.9,10.6
34,2017,서울혜화경찰서,12,15.9,12.4
35,2017,서울남대문경찰서,7,11.5,6.4
36,2017,서울종암경찰서,27,12.0,10.9
37,2017,서울은평경찰서,36,14.6,13.4
38,2017,서울방배경찰서,24,10.6,9.8
39,2017,서울강남경찰서,35,12.2,10.9
40,2017,수원서부경찰서,44,16.2,14.9
0,2018,서울종로경찰서,8,10.6,9.6
1,2018,서울중부경찰서,7,11.4,9.7
2,2018,서울용산경찰서,18,16.0,14.6
3,2018,서울성동경찰서,21,13.7,12.2
4,2018,서울광진경찰서,23,12.8,11.5
5,2018,서울동대문경찰서,29,16.9,13.8
6,2018,서울중랑경찰서,26,12.9,10.1
7,2018,서울성북경찰서,35,15.8,13.6
8,2018,서울강북경찰서,26,16.1,13.9
9,2018,서울도봉경찰서,24,13.9,14.3
10,2018,서울노원경찰서,43,15.4,12.5
11,2018,서울서부경찰서,39,15.9,13.4
12,2018,서울서대문경찰서,23,14.6,11.2
13,2018,서울마포경찰서,27,14.0,12.5
14,2018,서울양천경찰서,22,9.4,7.6
15,2018,서울강서경찰서,46,15.1,13.8
16,2018,서울구로경찰서,32,15.7,14.0
17,2018,서울금천경찰서,19,16.7,12.0
18,2018,서울영등포경찰서,25,13.8,12.6
19,2018,서울동작경찰서,28,14.0,12.0
20,2018,서울관악경찰서,34,13.8,12.0
21,2018,서울서초경찰서,26,11.6,10.5
22,2018,서울수서경찰서,54,19.3,18.4
23,2018,서울송파경찰서,34,10.1,9.3
24,2018,서울강동경찰서,28,13.0,11.6
25,2018,세종경찰서,21,14.2,12.2
26,2018,수원중부경찰서,23,16.1,12.9
27,2018,수원남부경찰서,15,8.6,8.5
28,2018,진주경찰서,24,13.8,9.6
29,2018,창원서부경찰서,17,13.7,12.2
30,2018,창원중부경찰서,18,16.2,15.4
31,2018,마산중부경찰서,14,15.6,16.5
32,2018,마산동부경찰서,15,15.1,13.4
33,2018,진해경찰서,12,12.8,12.3
34,2018,서울혜화경찰서,8,10.6,9.6
