,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_전반
0,경기수원남부경찰서,2017,32.0,2.0,13004.0,5949.0,2.0,248.0,1.0,384.0,1.0,2.0,131.0,349.0,1705.0,719.0,5.0,3681.0,206.0,122.0,1332.0,1275.0,0.0,496.0,2.0,8383.0,32.0,1449.0,8461.0,4736.0,6559.0,149.0,1110.0,6460.0,4563.0,898.0,6576.0,4052.0,3697.0,3074.0,3616.0,5317.0,74.4
1,경기수원서부경찰서,2017,18.0,2.0,6180.0,4595.0,0.0,135.0,1.0,172.0,0.0,1.0,150.0,225.0,931.0,545.0,1.0,1950.0,78.0,60.0,1081.0,768.0,1.0,189.0,0.0,4526.0,18.0,881.0,5209.0,2622.0,3423.0,89.0,838.0,3447.0,2763.0,665.0,3452.0,1856.0,1477.0,1993.0,2572.0,3356.0,68.5
2,경기수원중부경찰서,2017,15.0,12.0,8121.0,5646.0,1.0,177.0,1.0,166.0,0.0,0.0,94.0,319.0,1124.0,1100.0,2.0,1884.0,32.0,133.0,1430.0,650.0,2.0,180.0,0.0,5755.0,12.0,1610.0,6295.0,3848.0,4090.0,152.0,976.0,3694.0,4132.0,1175.0,4104.0,2449.0,1713.0,2554.0,3259.0,4258.0,70.85
3,경남마산동부경찰서,2017,0.0,33.0,3486.0,2266.0,2.0,44.0,0.0,57.0,0.0,0.0,26.0,199.0,686.0,474.0,2.0,870.0,84.0,17.0,724.0,315.0,1.0,151.0,2.0,1980.0,12.0,397.0,2610.0,1522.0,1782.0,38.0,328.0,1522.0,1726.0,514.0,1786.0,1417.0,803.0,907.0,1058.0,1729.0,70.75
4,경남마산중부경찰서,2017,0.0,30.0,2711.0,1713.0,0.0,45.0,1.0,155.0,0.0,1.0,62.0,172.0,552.0,322.0,1.0,904.0,100.0,44.0,362.0,325.0,0.0,90.0,1.0,1659.0,9.0,177.0,1931.0,1170.0,1617.0,26.0,212.0,979.0,1317.0,561.0,1623.0,812.0,820.0,712.0,1082.0,1292.0,74.44999999999997
5,경남진주경찰서,2017,1.0,0.0,5942.0,3560.0,0.0,78.0,1.0,123.0,0.0,1.0,27.0,267.0,1240.0,459.0,3.0,1665.0,368.0,45.0,911.0,805.0,2.0,218.0,0.0,3383.0,8.0,359.0,4001.0,2383.0,3349.0,69.0,534.0,2549.0,2344.0,873.0,3364.0,2008.0,1612.0,1611.0,1711.0,2791.0,73.6
6,경남진해경찰서,2017,0.0,0.0,2797.0,1855.0,1.0,48.0,0.0,15.0,0.0,0.0,17.0,185.0,537.0,348.0,0.0,905.0,30.0,5.0,372.0,402.0,0.0,125.0,0.0,1636.0,4.0,184.0,1689.0,1090.0,1954.0,41.0,186.0,1012.0,1167.0,364.0,1963.0,838.0,675.0,945.0,873.0,1402.0,72.75
7,경남창원서부경찰서,2017,0.0,1.0,3389.0,2526.0,1.0,52.0,0.0,231.0,0.0,0.0,83.0,150.0,724.0,171.0,0.0,1226.0,125.0,9.0,733.0,501.0,0.0,87.0,0.0,2248.0,7.0,302.0,2756.0,1478.0,2049.0,35.0,273.0,1535.0,1890.0,492.0,2058.0,1394.0,885.0,972.0,1213.0,1819.0,73.35
8,경남창원중부경찰서,2017,1.0,0.0,4113.0,3426.0,0.0,68.0,0.0,272.0,0.0,0.0,15.0,185.0,1069.0,461.0,3.0,1418.0,189.0,6.0,864.0,556.0,1.0,146.0,1.0,2643.0,7.0,346.0,3351.0,1943.0,2601.0,35.0,461.0,2453.0,1943.0,383.0,2620.0,1790.0,1247.0,1261.0,1633.0,1964.0,71.65
9,서울강남경찰서,2017,21.0,92.0,6639.0,9372.0,0.0,177.0,0.0,343.0,1.0,4.0,407.0,523.0,3914.0,1126.0,1.0,1245.0,197.0,99.0,1704.0,644.0,0.0,214.0,4.0,5903.0,42.0,1440.0,7595.0,5002.0,4459.0,34.0,615.0,6770.0,3991.0,1042.0,4604.0,5098.0,2632.0,2736.0,3045.0,3545.0,75.15
10,서울강동경찰서,2017,10.0,0.0,6433.0,3491.0,0.0,159.0,0.0,281.0,0.0,1.0,205.0,290.0,1497.0,525.0,4.0,469.0,29.0,73.0,975.0,454.0,1.0,101.0,0.0,4074.0,13.0,2075.0,5236.0,3137.0,2207.0,89.0,577.0,3104.0,3508.0,1068.0,2234.0,2432.0,1545.0,1678.0,2081.0,2844.0,74.2
11,서울강북경찰서,2017,22.0,0.0,4774.0,2665.0,0.0,152.0,0.0,1028.0,0.0,1.0,231.0,238.0,975.0,399.0,1.0,477.0,37.0,201.0,765.0,517.0,0.0,111.0,0.0,3162.0,9.0,1981.0,4509.0,2721.0,1643.0,78.0,611.0,2829.0,2801.0,901.0,1653.0,1588.0,1619.0,1438.0,1707.0,2521.0,69.4
12,서울강서경찰서,2017,18.0,8.0,7876.0,6086.0,1.0,164.0,2.0,450.0,1.0,4.0,109.0,548.0,1716.0,1982.0,2.0,1379.0,54.0,53.0,1292.0,730.0,1.0,139.0,3.0,4963.0,22.0,1835.0,6246.0,4094.0,4379.0,117.0,750.0,4332.0,3921.0,1193.0,4406.0,2788.0,2435.0,2496.0,2998.0,4002.0,70.0
13,서울관악경찰서,2017,11.0,0.0,8364.0,5580.0,1.0,131.0,0.0,439.0,0.0,1.0,115.0,461.0,1705.0,862.0,2.0,1566.0,56.0,123.0,1088.0,842.0,1.0,115.0,1.0,5192.0,23.0,2605.0,6463.0,4210.0,3969.0,233.0,814.0,4892.0,3373.0,1336.0,3994.0,2763.0,2595.0,2398.0,2830.0,4056.0,67.75
14,서울광진경찰서,2017,15.0,1.0,6090.0,4573.0,1.0,113.0,0.0,231.0,0.0,1.0,139.0,432.0,1317.0,587.0,2.0,1049.0,208.0,70.0,882.0,504.0,0.0,84.0,2.0,4332.0,42.0,1653.0,4986.0,3090.0,3088.0,81.0,750.0,3670.0,2617.0,898.0,3148.0,2081.0,2055.0,1869.0,2194.0,2965.0,70.65
