,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_절폭
0,경기수원남부경찰서,2017,7.0,2.0,4072.0,1466.0,1.0,61.0,0.0,219.0,0.0,1.0,37.0,3.0,148.0,25.0,0.0,3.0,108.0,1.0,84.0,148.0,0.0,326.0,0.0,4224.0,22.0,774.0,3613.0,1912.0,341.0,43.0,560.0,2784.0,1817.0,318.0,344.0,691.0,1444.0,925.0,1122.0,1684.0,78.30000000000003
1,경기수원서부경찰서,2017,3.0,0.0,1869.0,1462.0,0.0,50.0,0.0,98.0,0.0,1.0,74.0,0.0,91.0,18.0,0.0,4.0,22.0,1.0,8.0,155.0,0.0,110.0,0.0,2729.0,10.0,409.0,2274.0,1063.0,220.0,21.0,402.0,1418.0,1196.0,297.0,223.0,340.0,749.0,512.0,749.0,1207.0,70.1
2,경기수원중부경찰서,2017,5.0,12.0,2849.0,1273.0,0.0,61.0,1.0,38.0,0.0,0.0,35.0,1.0,143.0,29.0,0.0,4.0,20.0,2.0,34.0,77.0,0.0,61.0,0.0,3048.0,5.0,850.0,2483.0,1413.0,378.0,36.0,359.0,1284.0,1738.0,484.0,373.0,362.0,769.0,623.0,938.0,1582.0,73.4
3,경남마산동부경찰서,2017,0.0,24.0,1312.0,563.0,1.0,12.0,0.0,39.0,0.0,0.0,3.0,0.0,111.0,19.0,0.0,3.0,58.0,1.0,12.0,75.0,0.0,65.0,0.0,1431.0,9.0,170.0,1126.0,658.0,170.0,4.0,146.0,593.0,798.0,243.0,170.0,226.0,426.0,294.0,348.0,660.0,73.15
4,경남마산중부경찰서,2017,0.0,20.0,955.0,257.0,0.0,11.0,1.0,111.0,0.0,0.0,22.0,0.0,73.0,36.0,0.0,0.0,75.0,0.0,1.0,47.0,0.0,19.0,0.0,1047.0,7.0,72.0,801.0,446.0,130.0,3.0,86.0,368.0,572.0,218.0,130.0,127.0,313.0,222.0,272.0,443.0,77.85
5,경남진주경찰서,2017,0.0,0.0,2121.0,1159.0,0.0,20.0,0.0,89.0,0.0,0.0,9.0,0.0,229.0,34.0,0.0,2.0,316.0,0.0,16.0,104.0,0.0,110.0,0.0,2423.0,5.0,159.0,2034.0,1115.0,249.0,15.0,270.0,1234.0,1154.0,479.0,246.0,487.0,667.0,475.0,633.0,1136.0,78.2
6,경남진해경찰서,2017,0.0,0.0,879.0,543.0,0.0,9.0,0.0,3.0,0.0,0.0,4.0,1.0,85.0,5.0,0.0,2.0,24.0,0.0,24.0,86.0,0.0,74.0,0.0,1060.0,2.0,75.0,778.0,492.0,168.0,5.0,105.0,440.0,561.0,159.0,168.0,202.0,317.0,200.0,240.0,479.0,77.7
7,경남창원서부경찰서,2017,0.0,1.0,591.0,984.0,1.0,5.0,0.0,152.0,0.0,0.0,10.0,2.0,105.0,21.0,0.0,0.0,103.0,0.0,20.0,83.0,0.0,38.0,0.0,1222.0,5.0,145.0,1112.0,569.0,63.0,10.0,84.0,561.0,831.0,195.0,63.0,207.0,347.0,277.0,379.0,534.0,76.35
8,경남창원중부경찰서,2017,0.0,0.0,930.0,1259.0,0.0,8.0,0.0,104.0,0.0,0.0,8.0,0.0,156.0,46.0,0.0,2.0,145.0,3.0,6.0,90.0,0.0,58.0,0.0,1641.0,4.0,158.0,1350.0,770.0,189.0,6.0,186.0,959.0,794.0,176.0,188.0,255.0,508.0,358.0,512.0,676.0,76.4
9,서울강남경찰서,2017,4.0,68.0,1764.0,2278.0,0.0,31.0,0.0,72.0,1.0,2.0,25.0,3.0,292.0,40.0,0.0,3.0,42.0,0.0,83.0,95.0,0.0,48.0,0.0,2877.0,28.0,734.0,2406.0,1529.0,310.0,4.0,274.0,2428.0,985.0,246.0,308.0,504.0,1030.0,757.0,898.0,1056.0,79.4
10,서울강동경찰서,2017,4.0,0.0,2885.0,955.0,0.0,51.0,0.0,189.0,0.0,0.0,44.0,4.0,299.0,32.0,2.0,2.0,12.0,3.0,97.0,48.0,0.0,34.0,0.0,2165.0,6.0,1424.0,2518.0,1346.0,264.0,21.0,297.0,1430.0,1673.0,444.0,263.0,477.0,808.0,695.0,858.0,1290.0,79.95
11,서울강북경찰서,2017,7.0,0.0,1998.0,429.0,0.0,63.0,0.0,712.0,0.0,0.0,55.0,0.0,95.0,33.0,0.0,2.0,31.0,1.0,87.0,68.0,0.0,36.0,0.0,1671.0,8.0,1232.0,2032.0,1172.0,60.0,16.0,303.0,1196.0,1287.0,403.0,59.0,295.0,840.0,532.0,562.0,1035.0,71.9
12,서울강서경찰서,2017,6.0,0.0,2638.0,1868.0,0.0,51.0,0.0,160.0,1.0,2.0,29.0,3.0,222.0,70.0,1.0,4.0,19.0,2.0,158.0,107.0,1.0,22.0,0.0,3178.0,12.0,956.0,2693.0,1721.0,341.0,36.0,390.0,1766.0,1725.0,496.0,342.0,369.0,969.0,795.0,1122.0,1500.0,73.0
