,police,year,19세 이하,20 ~ 34세,35 ~ 59세,60세 이상,총합
0,경기수원남부경찰서,2020,48972,18582,77990,122389,267933
1,경기수원서부경찰서,2020,48972,18582,77990,122389,267933
2,경기수원중부경찰서,2020,48972,18582,77990,122389,267933
3,경남마산동부경찰서,2020,80959,27092,113546,164585,386182
4,경남마산중부경찰서,2020,80959,27092,113546,164585,386182
5,경남진주경찰서,2020,36274,11965,50900,64143,163282
6,경남진해경찰서,2020,80959,27092,113546,164585,386182
7,경남창원서부경찰서,2020,80959,27092,113546,164585,386182
8,경남창원중부경찰서,2020,80959,27092,113546,164585,386182
9,서울강남경찰서,2020,21113,14586,45815,77293,158807
10,서울강동경찰서,2020,24777,12227,46896,68456,152356
11,서울강북경찰서,2020,35548,16872,65633,103682,221735
12,서울강서경찰서,2020,41381,25216,88163,152898,307658
13,서울관악경찰서,2020,28427,20072,66336,100761,215596
14,서울광진경찰서,2020,22892,12362,42650,52905,130809
15,서울구로경찰서,2020,23219,10103,36710,61567,131599
16,서울금천경찰서,2020,20343,9570,38883,60316,129112
17,서울남대문경찰서,2020,6478,2912,16092,33159,58641
18,서울노원경찰서,2020,49913,30945,104315,162147,347320
19,서울도봉경찰서,2020,30869,12464,46224,64207,153764
20,서울동대문경찰서,2020,23646,10627,47479,85930,167682
21,서울동작경찰서,2020,18449,12008,38830,64964,134251
22,서울마포경찰서,2020,16329,9793,31915,55069,113106
23,서울방배경찰서,2020,12616,6742,21634,33495,74487
24,서울서대문경찰서,2020,19288,8611,30492,53458,111849
25,서울서부경찰서,2020,44183,22300,72209,111644,250336
26,서울서초경찰서,2020,12616,6742,21634,33495,74487
27,서울성동경찰서,2020,15530,8294,32375,52729,108928
28,서울성북경찰서,2020,30625,13009,48861,79450,171945
29,서울송파경찰서,2020,31786,17159,53325,72330,174600
30,서울수서경찰서,2020,21113,14586,45815,77293,158807
31,서울양천경찰서,2020,33214,14753,50228,79031,177226
32,서울영등포경찰서,2020,13120,6719,35595,61550,116984
33,서울용산경찰서,2020,10987,5343,27685,44773,88788
34,서울은평경찰서,2020,44183,22300,72209,111644,250336
35,서울종로경찰서,2020,5516,2985,16072,28596,53169
36,서울종암경찰서,2020,30625,13009,48861,79450,171945
37,서울중랑경찰서,2020,46362,19807,80331,116848,263348
38,서울중부경찰서,2020,6478,2912,16092,33159,58641
39,서울혜화경찰서,2020,5516,2985,16072,28596,53169
40,충남세종경찰서,2020,19178,5176,20354,27770,72478
