,경찰서명,연도,화재건수,사망,부상,인명피해_계,부동산피해_천원,동산피해_천원,재산피해_천원,재산피해_건당천원
0, 경기수원남부경찰서 ,2020,160.0,0,8.0,8.0,1087295.0,865128.0,1952422.0,16167.0
1, 경기수원서부경찰서 ,2020,204.0,2,8.0,10.0,1024919.0,776187.0,1801105.0,11634.0
2, 경기수원중부경찰서 ,2020,183.0,1,11.0,12.0,463899.0,459723.0,923621.0,6905.0
3, 경남마산동부경찰서 ,2020,86.0,1,5.0,6.0,81174.0,106555.0,187729.0,2183.0
4, 경남마산중부경찰서 ,2020,111.0,1,8.0,9.0,732227.0,1706467.0,2438694.0,21970.0
5, 경남진주경찰서 ,2020,267.0,2,7.0,9.0,1002168.0,724498.0,1726666.0,6467.0
6, 경남진해경찰서 ,2020,115.0,1,2.0,3.0,959707.0,385912.0,1345619.0,11701.0
7, 경남창원서부경찰서 ,2020,154.0,0,4.0,4.0,174488.0,269768.0,444256.0,2885.0
8, 경남창원중부경찰서 ,2020,102.0,0,3.0,3.0,186210.0,217145.0,403355.0,3954.0
9, 서울강남경찰서 ,2020,387.0,1,18.0,19.0,923684.0,527872.0,1451556.0,3751.0
10, 서울강동경찰서 ,2020,221.0,3,19.0,22.0,155078.0,208761.0,363839.0,1646.0
11, 서울강북경찰서 ,2020,186.0,1,5.0,6.0,99841.0,108539.0,208380.0,1120.0
12, 서울강서경찰서 ,2020,212.0,3,5.0,8.0,91566.0,109400.0,200966.0,948.0
13, 서울관악경찰서 ,2020,219.0,2,15.0,17.0,249984.0,396165.0,646149.0,2950.0
14, 서울광진경찰서 ,2020,186.0,0,4.0,4.0,199281.0,167433.0,366714.0,1972.0
15, 서울구로경찰서 ,2020,156.0,2,6.0,8.0,208681.0,189678.0,398359.0,2554.0
16, 서울금천경찰서 ,2020,127.0,2,9.0,11.0,256259.0,163328.0,419587.0,3304.0
17, 서울남대문경찰서 ,2020,185.0,0,10.0,10.0,573942.0,710480.0,1284422.0,6943.0
18, 서울노원경찰서 ,2020,172.0,0,11.0,11.0,133610.0,250312.0,383922.0,2232.0
19, 서울도봉경찰서 ,2020,163.0,0,7.0,7.0,184209.0,307100.0,491309.0,3014.0
20, 서울동대문경찰서 ,2020,152.0,6,17.0,23.0,543066.0,2849492.0,3392558.0,22319.0
21, 서울동작경찰서 ,2020,151.0,0,7.0,7.0,81609.0,112642.0,194251.0,1286.0
22, 서울마포경찰서 ,2020,240.0,3,29.0,32.0,1349817.0,719232.0,2069049.0,8621.0
23, 서울방배경찰서 ,2020,240.0,1,10.0,11.0,234894.0,320455.0,555349.0,2314.0
24, 서울서대문경찰서 ,2020,220.0,3,4.0,7.0,507160.0,421825.0,928985.0,4223.0
25, 서울서부경찰서 ,2020,192.0,2,6.0,8.0,270762.0,234026.0,504788.0,2629.0
26, 서울서초경찰서 ,2020,240.0,1,10.0,11.0,234894.0,320455.0,555349.0,2314.0
27, 서울성동경찰서 ,2020,187.0,0,2.0,2.0,126408.0,381419.0,507827.0,2716.0
28, 서울성북경찰서 ,2020,173.0,0,11.0,11.0,187204.0,474351.0,661555.0,3824.0
29, 서울송파경찰서 ,2020,307.0,1,7.0,8.0,184717.0,194960.0,379677.0,1237.0
30, 서울수서경찰서 ,2020,387.0,1,18.0,19.0,923684.0,527872.0,1451556.0,3751.0
31, 서울양천경찰서 ,2020,153.0,0,4.0,4.0,86760.0,128656.0,215416.0,1408.0
32, 서울영등포경찰서 ,2020,225.0,3,8.0,11.0,279030.0,395766.0,674796.0,2999.0
33, 서울용산경찰서 ,2020,192.0,0,5.0,5.0,64235.0,205600.0,269835.0,1405.0
34, 서울은평경찰서 ,2020,192.0,2,6.0,8.0,270762.0,234026.0,504788.0,2629.0
35, 서울종로경찰서 ,2020,217.0,2,5.0,7.0,192633.0,447118.0,639751.0,2948.0
36, 서울종암경찰서 ,2020,173.0,0,11.0,11.0,187204.0,474351.0,661555.0,3824.0
37, 서울중랑경찰서 ,2020,225.0,2,12.0,14.0,114412.0,115154.0,229566.0,1020.0
38, 서울중부경찰서 ,2020,185.0,0,10.0,10.0,573942.0,710480.0,1284422.0,6943.0
39, 서울혜화경찰서 ,2020,217.0,2,5.0,7.0,192633.0,447118.0,639751.0,2948.0
40, 충남세종경찰서 ,2020,203.0,2,16.0,18.0,1227512.0,1968613.0,3196125.0,15744.0
