관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_비,crm_wthr_암흑,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탐문정보,crm_clue_피해자신고,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,강도살인_발생수,강도살인_검거수,강도살인_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_강살
경기수원남부경찰서,2017,0,0,7,5,1,0,0,0,0,1,0,0,1,0,0,2,1,6,2,4,8,1,0,1,5,3,3,1,0,5,0,2,6,13,14,1.077,118.0,2,24.0,26.0,1084718.0,756962.0,1841679.0,21376.0,4719,148,395,3671,5.0,223,52811.0,23,13.5,12.2,498926,39101,9131,40639,50273,139144,15295,79.2
경기수원서부경찰서,2017,0,0,3,4,1,1,1,0,0,1,0,0,0,0,0,0,1,4,4,8,2,0,0,0,5,1,4,0,0,3,0,4,3,13,15,1.1540000000000001,159.0,1,7.0,8.0,581020.0,618198.0,1199217.0,10096.0,2919,102,258,3961,1.0,79,28612.0,44,16.2,14.9,290873,39101,9131,40639,50273,139144,24040,70.80000000000003
경기수원중부경찰서,2017,0,0,10,2,0,0,0,0,0,0,1,0,0,0,0,1,1,5,4,5,6,1,2,1,3,3,2,1,0,4,0,4,4,17,30,1.765,124.0,0,10.0,10.0,458268.0,811849.0,1270116.0,13711.0,4447,96,333,6736,8.0,157,41116.0,20,13.7,12.2,412829,39101,9131,40639,50273,139144,18967,74.1
경남마산동부경찰서,2017,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,1,0,0,3,2,1,1,0,2,0,2,3,10,15,1.5,95.0,2,2.0,4.0,184825.0,119858.0,304683.0,3207.0,1218,65,185,5647,11.0,337,20165.0,7,6.9,7.1,202864,54889,11055,56994,66509,189447,4184,75.25
경남마산중부경찰서,2017,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,2,1,5,1,3,6,0,0,1,0,6,2,0,1,3,2,1,2,9,9,1.0,114.0,0,1.0,1.0,542237.0,605513.0,1147750.0,10068.0,913,55,142,6843,12.0,487,21519.0,13,14.4,11.6,202864,54889,11055,56994,66509,189447,3268,80.75
경남진주경찰서,2017,0,0,6,7,0,0,0,0,0,0,1,0,0,0,0,2,0,8,2,8,5,0,0,0,1,6,6,0,0,2,2,6,3,8,7,0.875,264.0,0,8.0,8.0,805014.0,980462.0,1785476.0,6763.0,2709,127,289,6153,18.0,370,41623.0,22,12.6,8.6,353209,27844,6520,29128,28780,92272,7875,81.5
경남진해경찰서,2017,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,12,12,1.0,100.0,0,1.0,1.0,112921.0,138531.0,251452.0,2515.0,1142,106,137,3218,39.0,304,19022.0,10,10.9,10.6,186658,54889,11055,56994,66509,189447,5558,79.45
경남창원서부경찰서,2017,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,3,1,3,3,6,4,0,0,3,1,5,1,0,1,2,1,0,6,11,13,1.182,191.0,1,2.0,3.0,746756.0,2847490.0,3594246.0,18818.0,1050,140,155,6078,9.0,332,20665.0,18,14.6,13.6,185322,54889,11055,56994,66509,189447,4264,79.35
경남창원중부경찰서,2017,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,6,0,0,0,1,5,0,0,0,2,1,2,1,7,8,1.143,111.0,3,11.0,14.0,227870.0,287653.0,515523.0,4644.0,1429,136,201,2895,21.0,566,26038.0,15,13.4,13.9,295969,54889,11055,56994,66509,189447,8214,77.85
서울강남경찰서,2017,1,0,12,4,1,1,0,0,3,2,1,1,1,0,0,1,0,4,6,11,8,0,0,0,11,7,1,0,0,4,4,6,5,7,4,0.5710000000000001,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0,3095,24,421,5031,585.0,297,44473.0,35,12.2,10.9,325815,17789,8699,25298,33903,85689,6723,80.45
서울강동경찰서,2017,0,0,10,4,0,0,1,0,1,0,0,0,0,0,0,1,0,2,11,11,4,0,0,0,6,9,0,0,1,3,3,4,4,3,4,1.3330000000000002,269.0,0,12.0,12.0,188487.0,230106.0,418593.0,1556.0,2619,72,393,7505,1.0,213,41050.0,24,11.0,9.7,423978,19558,5976,23078,25727,74339,8196,81.0
서울강북경찰서,2017,0,0,7,3,0,0,1,0,1,0,0,0,0,0,0,1,0,4,5,7,3,1,0,0,3,7,0,1,1,3,2,3,2,7,8,1.143,186.0,0,6.0,6.0,134341.0,204805.0,339146.0,1823.0,2299,41,347,8430,21.0,184,39082.0,21,12.9,10.0,313698,29508,9281,35737,43051,117577,6487,73.65
서울강서경찰서,2017,1,0,9,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,7,9,5,0,0,0,2,8,4,0,1,4,2,3,4,9,10,1.111,364.0,3,22.0,25.0,342521.0,364350.0,706871.0,1942.0,2377,139,500,8573,735.0,289,68237.0,40,13.2,11.8,581675,31758,14649,51392,65237,163036,12532,76.05
서울관악경찰서,2017,0,0,10,2,0,0,0,0,0,2,0,0,0,0,0,0,2,4,4,6,5,1,0,0,4,6,1,1,1,4,2,2,3,18,15,0.833,286.0,3,20.0,23.0,320771.0,333919.0,654690.0,2289.0,4825,78,493,11882,814.0,272,106865.0,28,11.4,10.0,511222,21840,9395,31669,38508,101412,29335,75.85
서울광진경찰서,2017,0,0,11,2,0,1,0,0,2,0,0,0,1,0,0,1,0,7,3,8,6,0,0,1,7,4,2,0,0,3,3,3,5,7,9,1.286,200.0,1,6.0,7.0,230322.0,203420.0,433742.0,2169.0,6459,34,380,9132,1329.0,93,54866.0,17,9.4,9.5,363934,18260,4472,17579,18554,58865,21216,75.7
