,Unnamed: 0,19세 이하,20 ~ 34세,35 ~ 59세,60세 이상
0,서울서부경찰서,45265,18558,62819,95037
1,서울강서경찰서,41124,22264,81165,130523
2,서울성북경찰서,31361,11882,43894,69254
3,세종경찰서,16060,4101,15794,22678
4,서울영등포경찰서,12911,5546,30674,51952
5,서울용산경찰서,11199,4119,24104,39212
6,수원중부경찰서,51840,16442,72299,107942
7,서울동대문경찰서,24605,9344,43252,75416
8,서울관악경찰서,28421,15909,54953,81176
9,서울강북경찰서,37423,15119,60537,88327
10,서울광진경찰서,23511,9205,34348,43811
11,서울강동경찰서,24731,10066,39772,53914
12,진주경찰서,36456,10784,47973,57053
13,서울종로경찰서,5756,2573,14071,25508
14,서울송파경찰서,32727,14377,45428,58345
15,창원중부경찰서,76041,21576,97938,139708
16,서울노원경찰서,51537,28793,96356,140258
17,서울서초경찰서,12915,6232,19512,29423
18,서울서대문경찰서,20887,7284,27027,45810
19,서울중랑경찰서,46485,15246,64943,92574
20,서울양천경찰서,33580,12197,43041,64917
21,서울마포경찰서,15671,8696,28149,47341
22,서울중부경찰서,6833,2472,14862,28268
23,서울동작경찰서,19403,9690,34013,54529
24,서울구로경찰서,21749,8064,30709,50532
25,서울수서경찰서,21689,13134,39921,65581
26,서울성동경찰서,16622,7134,29103,44632
27,서울금천경찰서,21128,8770,35542,52484
28,서울도봉경찰서,32365,11052,40627,54373
29,서울은평경찰서,45265,18558,62819,95037
30,서울종암경찰서,31361,11882,43894,69254
31,수원남부경찰서,51840,16442,72299,107942
32,서울혜화경찰서,5756,2573,14071,25508
33,창원서부경찰서,76041,21576,97938,139708
34,서울방배경찰서,12915,6232,19512,29423
35,서울남대문경찰서,6833,2472,14862,28268
36,서울강남경찰서,21689,13134,39921,65581
37,마산중부경찰서,76041,21576,97938,139708
38,마산동부경찰서,76041,21576,97938,139708
39,진해경찰서,76041,21576,97938,139708
40,수원서부경찰서,51840,16442,72299,107942
