,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_비,crm_wthr_암흑,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탐문정보,crm_clue_피해자신고,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_강살
0,경기수원남부경찰서,2017,0,0,7,5,1,0,0,0,0,1,0,0,1,0,0,2,1,6,2,4,8,1,0,1,5,3,3,1,0,5,0,2,6,79.2
1,경기수원서부경찰서,2017,0,0,3,4,1,1,1,0,0,1,0,0,0,0,0,0,1,4,4,8,2,0,0,0,5,1,4,0,0,3,0,4,3,70.80000000000003
2,경기수원중부경찰서,2017,0,0,10,2,0,0,0,0,0,0,1,0,0,0,0,1,1,5,4,5,6,1,2,1,3,3,2,1,0,4,0,4,4,74.1
3,경남마산동부경찰서,2017,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,1,0,0,3,2,1,1,0,2,0,2,3,75.25
4,경남마산중부경찰서,2017,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,2,1,5,1,3,6,0,0,1,0,6,2,0,1,3,2,1,2,80.75
5,경남진주경찰서,2017,0,0,6,7,0,0,0,0,0,0,1,0,0,0,0,2,0,8,2,8,5,0,0,0,1,6,6,0,0,2,2,6,3,81.5
6,경남진해경찰서,2017,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,79.45
7,경남창원서부경찰서,2017,0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,3,1,3,3,6,4,0,0,3,1,5,1,0,1,2,1,0,6,79.35
8,경남창원중부경찰서,2017,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,6,0,0,0,1,5,0,0,0,2,1,2,1,77.85
9,서울강남경찰서,2017,1,0,12,4,1,1,0,0,3,2,1,1,1,0,0,1,0,4,6,11,8,0,0,0,11,7,1,0,0,4,4,6,5,80.45
10,서울강동경찰서,2017,0,0,10,4,0,0,1,0,1,0,0,0,0,0,0,1,0,2,11,11,4,0,0,0,6,9,0,0,1,3,3,4,4,81.0
11,서울강북경찰서,2017,0,0,7,3,0,0,1,0,1,0,0,0,0,0,0,1,0,4,5,7,3,1,0,0,3,7,0,1,1,3,2,3,2,73.65
12,서울강서경찰서,2017,1,0,9,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,7,9,5,0,0,0,2,8,4,0,1,4,2,3,4,76.05
13,서울관악경찰서,2017,0,0,10,2,0,0,0,0,0,2,0,0,0,0,0,0,2,4,4,6,5,1,0,0,4,6,1,1,1,4,2,2,3,75.85
14,서울광진경찰서,2017,0,0,11,2,0,1,0,0,2,0,0,0,1,0,0,1,0,7,3,8,6,0,0,1,7,4,2,0,0,3,3,3,5,75.7
15,서울구로경찰서,2017,0,0,8,5,0,1,0,0,1,1,1,0,0,1,0,2,0,5,3,8,6,0,0,2,3,9,0,0,0,6,1,4,3,77.0
16,서울금천경찰서,2017,0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,1,0,2,5,3,6,0,1,2,0,4,2,0,2,3,0,0,4,72.65
17,서울남대문경찰서,2017,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,5,0,0,0,0,1,3,1,0,0,1,1,3,0,77.5
18,서울노원경찰서,2017,0,0,5,5,1,1,0,0,1,0,1,0,0,0,0,2,0,2,6,10,2,0,0,1,4,3,4,0,1,5,3,1,2,79.9
19,서울도봉경찰서,2017,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,3,2,0,0,0,1,2,2,0,0,0,1,1,3,77.1
20,서울동대문경찰서,2017,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,4,1,3,4,5,7,0,0,2,3,3,4,0,1,4,3,2,2,79.30000000000003
21,서울동작경찰서,2017,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,5,2,0,0,0,4,2,1,0,1,2,0,0,4,80.35
22,서울마포경찰서,2017,0,0,8,4,0,1,0,0,1,0,0,0,0,0,0,1,1,5,5,7,6,0,1,1,7,3,1,0,0,5,2,2,4,77.45
23,서울방배경찰서,2017,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,4,0,0,0,3,1,0,0,82.75
24,서울서대문경찰서,2017,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,2,0,1,0,3,0,1,0,1,2,0,1,1,79.8
25,서울서부경찰서,2017,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,1,5,0,0,0,0,2,4,0,1,0,3,1,1,77.44999999999997
26,서울서초경찰서,2017,0,0,6,7,0,0,0,0,2,0,1,0,0,0,0,0,2,2,6,9,4,0,1,2,5,5,0,0,4,1,3,4,1,84.25
27,서울성동경찰서,2017,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,1,1,0,0,0,1,1,0,1,77.35
28,서울성북경찰서,2017,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,6,0,0,1,2,4,1,0,1,2,1,2,2,80.35
29,서울송파경찰서,2017,0,0,8,2,0,0,0,0,3,1,1,0,0,0,0,0,0,2,3,5,5,0,1,0,2,4,3,0,1,1,3,3,2,79.9
30,서울수서경찰서,2017,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,1,3,2,2,6,0,0,1,5,2,0,0,1,1,0,3,3,82.0
31,서울양천경찰서,2017,1,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,0,0,0,1,4,0,0,0,1,3,0,1,80.1
32,서울영등포경찰서,2017,0,0,12,3,1,0,0,0,1,1,0,0,0,0,0,2,0,6,6,9,7,0,0,1,4,10,1,0,2,6,1,1,6,73.85
33,서울용산경찰서,2017,1,0,2,1,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,1,4,0,0,0,4,1,0,0,2,1,1,1,0,78.9
34,서울은평경찰서,2017,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,2,0,0,0,1,3,1,0,0,2,2,1,0,79.35
35,서울종로경찰서,2017,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,2,0,0,0,2,1,2,0,0,1,2,1,1,80.85
36,서울종암경찰서,2017,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,2,3,1,0,2,1,2,0,1,0,1,2,1,2,76.6
37,서울중랑경찰서,2017,0,0,3,3,1,0,0,0,1,1,0,0,0,1,0,1,0,2,1,5,2,0,1,0,0,5,1,0,0,1,0,4,2,72.44999999999997
38,서울중부경찰서,2017,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,1,0,2,2,1,0,1,2,1,1,1,1,77.85
39,서울혜화경찰서,2017,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,3,0,0,1,3,1,0,0,1,2,1,0,1,80.3
40,충남세종경찰서,2017,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,2,1,0,1,2,3,0,1,0,1,0,3,3,81.0
41,경기수원남부경찰서,2018,0,0,11,1,1,0,0,0,1,0,0,0,0,0,0,3,0,5,4,8,5,0,0,1,4,7,1,0,0,2,4,2,5,78.55000000000003
42,경기수원서부경찰서,2018,0,0,8,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,7,1,1,0,0,4,3,1,1,0,3,2,3,1,75.94999999999997
43,경기수원중부경찰서,2018,0,0,6,4,1,0,0,0,0,0,1,0,0,0,0,4,1,2,3,8,2,1,0,1,1,6,2,1,3,2,0,1,5,76.35
44,경남마산동부경찰서,2018,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,3,0,0,1,0,1,0,1,77.3
45,경남마산중부경찰서,2018,0,0,14,2,0,2,0,1,2,0,0,0,0,0,0,7,1,4,3,13,3,2,1,0,1,11,3,2,5,5,2,3,3,79.95
46,경남진주경찰서,2018,0,0,8,2,0,2,0,0,0,2,1,0,0,0,0,2,0,5,2,9,3,0,0,0,2,5,5,0,2,2,1,4,3,79.75
47,경남진해경찰서,2018,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,1,0,2,0,0,0,1,1,0,0,1,78.5
48,경남창원서부경찰서,2018,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,0,0,0,2,2,0,0,0,1,0,3,0,77.0
49,경남창원중부경찰서,2018,0,0,6,4,1,1,1,0,0,0,0,0,0,0,0,2,0,8,3,5,7,1,1,2,3,2,4,1,2,3,1,2,5,78.9
50,서울강남경찰서,2018,0,0,4,5,0,0,0,0,1,0,0,0,0,0,0,1,1,3,3,6,3,0,0,1,3,3,2,0,2,2,2,2,1,80.94999999999997
51,서울강동경찰서,2018,0,0,6,2,0,0,0,0,2,0,0,0,0,2,0,1,0,3,0,5,3,0,0,1,4,1,2,0,1,0,1,1,5,78.69999999999997
52,서울강북경찰서,2018,0,0,10,3,1,1,2,0,3,1,0,0,0,1,0,2,0,5,5,8,9,0,0,3,6,5,3,0,2,5,1,4,5,73.35
53,서울강서경찰서,2018,0,0,10,4,0,0,0,0,0,1,0,0,3,0,0,1,0,1,8,4,10,0,1,2,2,8,1,0,0,7,6,1,0,79.25
54,서울관악경찰서,2018,0,0,8,9,1,1,2,0,1,0,0,0,0,0,1,3,1,9,6,9,11,1,0,1,11,4,4,1,2,6,1,4,8,76.5
55,서울광진경찰서,2018,0,0,4,5,1,0,1,1,1,0,1,0,0,0,0,3,0,2,3,7,3,1,0,2,2,4,2,1,5,1,0,2,3,77.65
56,서울구로경찰서,2018,0,0,10,2,0,2,1,0,0,0,0,0,0,0,0,5,0,5,5,8,5,2,1,2,4,5,1,2,1,1,3,4,6,74.75
57,서울금천경찰서,2018,0,0,8,5,0,1,0,0,0,1,0,0,1,0,0,2,0,3,7,6,8,0,0,3,4,5,2,0,0,5,3,1,5,72.4
58,서울남대문경찰서,2018,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,0,2,3,0,0,0,1,1,2,1,80.85
59,서울노원경찰서,2018,1,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6,5,4,0,0,0,0,5,4,0,0,1,2,1,5,80.0
60,서울도봉경찰서,2018,0,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,1,4,0,0,0,2,2,1,0,1,0,1,3,0,82.15
61,서울동대문경찰서,2018,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,3,0,0,0,2,2,2,0,1,2,0,3,0,76.6
62,서울동작경찰서,2018,0,0,4,5,1,0,0,0,1,0,0,0,0,0,0,2,0,3,4,3,7,0,0,1,3,2,4,0,1,3,2,2,2,78.6
63,서울마포경찰서,2018,0,0,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,5,3,0,0,0,3,2,3,0,1,3,3,0,1,80.1
64,서울방배경찰서,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,85.4
65,서울서대문경찰서,2018,0,0,6,1,0,1,0,1,1,0,0,0,0,0,0,1,0,3,2,5,3,0,0,1,2,3,2,0,2,2,3,0,1,78.19999999999997
66,서울서부경찰서,2018,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,77.65
67,서울서초경찰서,2018,0,0,7,3,0,0,0,1,4,0,0,0,0,0,0,2,0,2,1,7,2,1,0,0,3,5,1,1,3,0,1,2,4,84.94999999999997
68,서울성동경찰서,2018,0,0,4,0,2,1,0,0,1,0,0,0,0,0,0,2,0,1,3,5,2,0,0,1,1,3,2,0,1,3,0,2,1,81.80000000000003
69,서울성북경찰서,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,79.25
70,서울송파경찰서,2018,0,0,7,1,0,1,0,0,1,0,1,0,0,0,0,1,0,3,3,3,5,1,1,2,3,2,0,1,1,4,3,1,0,82.25
71,서울수서경찰서,2018,0,0,4,3,0,1,1,0,1,0,0,0,0,1,0,2,1,3,1,7,2,0,0,0,4,1,4,0,3,1,1,1,3,83.15
72,서울양천경찰서,2018,0,0,3,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,4,4,3,0,0,0,3,1,3,0,0,5,0,0,2,80.94999999999997
73,서울영등포경찰서,2018,0,0,13,8,1,0,1,2,1,3,1,0,1,0,0,1,0,6,8,16,5,2,1,1,5,12,3,1,2,4,4,6,7,74.75
74,서울용산경찰서,2018,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,2,0,0,0,0,2,0,1,81.25
75,서울은평경찰서,2018,0,0,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,3,1,5,0,0,0,2,1,3,0,0,2,1,2,1,77.55
76,서울종로경찰서,2018,0,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,6,1,0,0,0,0,4,3,0,1,0,3,2,1,84.15
77,서울종암경찰서,2018,0,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,5,0,1,0,0,0,3,2,1,1,2,1,1,1,76.65
78,서울중랑경찰서,2018,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,2,0,2,3,3,4,1,0,1,1,4,1,1,0,1,1,2,4,73.2
79,서울중부경찰서,2018,0,0,3,1,2,0,0,0,0,0,1,0,0,0,0,1,0,4,0,2,4,0,0,0,1,3,2,0,0,1,2,0,3,80.6
80,서울혜화경찰서,2018,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,2,1,0,1,0,0,2,0,75.35
81,충남세종경찰서,2018,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,3,0,3,3,6,4,0,1,2,4,2,1,0,0,3,1,3,3,81.44999999999997
82,경기수원남부경찰서,2019,0,0,12,1,1,3,0,0,1,0,0,0,0,0,0,5,0,6,5,8,9,0,0,2,4,9,2,0,2,5,0,3,7,79.15
83,경기수원서부경찰서,2019,0,0,4,3,1,0,0,0,0,0,1,0,0,0,0,2,0,2,3,4,4,0,1,0,3,3,1,0,0,2,1,0,5,75.0
84,경기수원중부경찰서,2019,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,2,0,2,2,2,5,0,0,0,2,3,2,0,2,1,0,3,1,79.8
85,경남마산동부경찰서,2019,0,1,3,2,0,1,0,0,0,1,1,0,0,0,0,2,0,2,1,4,3,0,0,0,3,3,1,0,2,2,1,1,1,77.35
86,경남마산중부경찰서,2019,0,0,4,3,0,0,0,0,1,0,1,0,0,0,0,1,0,2,2,3,4,0,0,0,0,4,3,0,2,1,2,1,1,80.25
87,경남진주경찰서,2019,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3,2,0,0,0,1,3,1,0,0,1,0,1,3,78.6
88,경남진해경찰서,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,79.1
89,경남창원서부경찰서,2019,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,4,0,0,0,3,2,0,0,0,1,1,2,1,80.35
90,경남창원중부경찰서,2019,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,2,0,0,0,3,2,0,0,0,3,0,2,0,81.19999999999997
91,서울강남경찰서,2019,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,5,0,0,0,2,1,2,0,1,1,0,1,2,83.65
92,서울강동경찰서,2019,0,0,13,5,0,0,1,0,1,1,0,0,0,0,0,1,1,7,8,14,4,1,0,2,5,9,2,1,1,4,3,8,3,79.15
93,서울강북경찰서,2019,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,1,2,2,0,1,0,1,2,1,77.0
94,서울강서경찰서,2019,0,0,6,5,0,0,0,0,0,0,4,0,0,1,0,1,2,1,2,6,5,0,1,1,2,1,6,0,1,3,3,1,3,74.5
95,서울관악경찰서,2019,0,0,10,4,2,1,1,0,0,1,0,0,0,0,0,3,0,5,9,9,7,2,1,0,8,4,3,2,1,5,6,2,4,74.5
96,서울광진경찰서,2019,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,3,1,3,0,4,4,0,0,1,2,2,3,0,2,3,2,0,1,78.44999999999997
97,서울구로경찰서,2019,0,0,10,2,0,1,0,0,1,1,0,0,0,1,0,3,0,5,2,8,5,0,0,0,3,8,2,0,3,2,2,5,1,74.9
98,서울금천경찰서,2019,0,0,3,6,0,1,0,0,1,0,0,0,0,0,0,2,0,2,5,7,3,0,0,0,2,6,2,0,0,1,2,4,3,73.2
99,서울남대문경찰서,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,82.0
100,서울노원경찰서,2019,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,2,4,3,0,0,1,2,1,3,0,0,1,2,1,3,81.0
101,서울도봉경찰서,2019,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,1,1,2,0,1,1,1,0,1,81.55
102,서울동대문경찰서,2019,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,2,1,4,7,9,5,0,0,2,5,4,3,0,4,3,1,3,3,79.1
103,서울동작경찰서,2019,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,3,0,2,0,1,0,1,0,1,0,1,1,1,78.1
