,jur_stn,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0~12세,vic_age_10대,"vic_age_2,30대","vic_age_4,50대",vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,score_법질서
0,경기수원남부경찰서,2017,8.0,0.0,3801.0,4081.0,1.0,86.0,0.0,75.0,0.0,1.0,45.0,341.0,1519.0,534.0,5.0,654.0,96.0,84.0,1248.0,645.0,0.0,151.0,2.0,2218.0,9.0,592.0,3498.0,2037.0,2563.0,86.0,440.0,2606.0,1934.0,454.0,2578.0,2356.0,809.0,1396.0,1771.0,1766.0,67.6
1,경기수원서부경찰서,2017,5.0,2.0,2418.0,2935.0,0.0,51.0,0.0,62.0,0.0,0.0,51.0,220.0,822.0,399.0,1.0,737.0,54.0,40.0,1072.0,338.0,1.0,71.0,0.0,1352.0,8.0,409.0,2538.0,1294.0,1692.0,49.0,383.0,1732.0,1325.0,317.0,1718.0,1320.0,420.0,1085.0,1412.0,1287.0,64.9
2,경기수원중부경찰서,2017,3.0,0.0,2833.0,3806.0,1.0,61.0,0.0,40.0,0.0,0.0,30.0,309.0,941.0,739.0,1.0,617.0,10.0,99.0,1394.0,348.0,1.0,101.0,0.0,1559.0,7.0,648.0,2894.0,1852.0,2028.0,87.0,533.0,1816.0,1785.0,506.0,2047.0,1797.0,473.0,1259.0,1615.0,1630.0,66.1
3,경남마산동부경찰서,2017,0.0,9.0,1021.0,1633.0,1.0,12.0,0.0,9.0,0.0,0.0,12.0,197.0,562.0,356.0,2.0,7.0,25.0,13.0,710.0,146.0,0.0,80.0,2.0,391.0,3.0,203.0,1310.0,735.0,652.0,26.0,159.0,819.0,810.0,229.0,654.0,972.0,165.0,449.0,547.0,564.0,64.65
4,경남마산중부경찰서,2017,0.0,10.0,823.0,1141.0,0.0,16.0,0.0,40.0,0.0,1.0,17.0,157.0,468.0,212.0,1.0,2.0,25.0,39.0,360.0,185.0,0.0,70.0,0.0,432.0,2.0,95.0,971.0,605.0,472.0,14.0,103.0,514.0,637.0,302.0,478.0,576.0,122.0,393.0,526.0,431.0,69.0
5,경남진주경찰서,2017,0.0,0.0,1667.0,2013.0,0.0,27.0,0.0,20.0,0.0,1.0,11.0,261.0,962.0,197.0,2.0,11.0,49.0,38.0,893.0,360.0,2.0,106.0,0.0,670.0,3.0,185.0,1744.0,1066.0,929.0,31.0,211.0,1203.0,1026.0,320.0,948.0,1293.0,236.0,797.0,716.0,697.0,65.6
6,경남진해경찰서,2017,0.0,0.0,711.0,1276.0,0.0,16.0,0.0,3.0,0.0,0.0,8.0,176.0,439.0,281.0,0.0,19.0,6.0,2.0,346.0,210.0,0.0,51.0,0.0,383.0,2.0,99.0,784.0,482.0,748.0,29.0,57.0,483.0,514.0,175.0,756.0,487.0,120.0,558.0,451.0,398.0,65.55
7,경남창원서부경찰서,2017,0.0,0.0,1148.0,1475.0,0.0,25.0,0.0,63.0,0.0,0.0,23.0,142.0,607.0,115.0,0.0,11.0,22.0,4.0,711.0,251.0,0.0,45.0,0.0,688.0,2.0,136.0,1411.0,770.0,553.0,21.0,157.0,836.0,907.0,252.0,561.0,867.0,183.0,525.0,638.0,521.0,68.45
8,경남창원중부경찰서,2017,1.0,0.0,1426.0,2062.0,0.0,32.0,0.0,21.0,0.0,0.0,3.0,157.0,890.0,264.0,3.0,67.0,43.0,3.0,856.0,284.0,1.0,86.0,1.0,723.0,3.0,164.0,1725.0,969.0,851.0,16.0,225.0,1288.0,979.0,167.0,870.0,1209.0,228.0,641.0,792.0,675.0,64.0
9,서울강남경찰서,2017,5.0,24.0,2928.0,6520.0,0.0,94.0,0.0,136.0,0.0,2.0,57.0,516.0,3519.0,726.0,0.0,246.0,149.0,90.0,1606.0,292.0,0.0,162.0,4.0,1870.0,14.0,572.0,4351.0,2788.0,2627.0,19.0,265.0,3471.0,2561.0,676.0,2774.0,4333.0,840.0,1382.0,1674.0,1537.0,69.0
