,관할서,cctv_cnt
0,경기수원남부경찰서,4719
1,경기수원서부경찰서,2919
2,경기수원중부경찰서,4447
3,경남마산동부경찰서,1218
4,경남마산중부경찰서,913
5,경남진주경찰서,2709
6,경남진해경찰서,1142
7,경남창원서부경찰서,1050
8,경남창원중부경찰서,1429
9,서울강남경찰서,3095
10,서울강동경찰서,2619
11,서울강북경찰서,2299
12,서울강서경찰서,2377
13,서울관악경찰서,4825
14,서울광진경찰서,6459
15,서울구로경찰서,3659
16,서울금천경찰서,4226
17,서울남대문경찰서,725
18,서울노원경찰서,1998
19,서울도봉경찰서,10
20,서울동대문경찰서,26
21,서울동작경찰서,2033
22,서울마포경찰서,2317
23,서울방배경찰서,2691
24,서울서대문경찰서,2938
25,서울서부경찰서,1870
26,서울서초경찰서,4237
27,서울성동경찰서,3241
28,서울성북경찰서,2015
29,서울송파경찰서,2096
30,서울수서경찰서,3124
31,서울양천경찰서,2921
32,서울영등포경찰서,3775
33,서울용산경찰서,2051
34,서울은평경찰서,1796
35,서울종로경찰서,805
36,서울종암경찰서,1855
37,서울중랑경찰서,4469
38,서울중부경찰서,1563
39,서울혜화경찰서,784
40,충남세종경찰서,2527
