,경찰서명,연도,화재건수,사망,부상,인명피해_계,부동산피해_천원,동산피해_천원,재산피해_천원,재산피해_건당천원
0, 경기수원남부경찰서 ,2017,118.0,2,24.0,26.0,1084718.0,756962.0,1841679.0,21376.0
1, 경기수원서부경찰서 ,2017,159.0,1,7.0,8.0,581020.0,618198.0,1199217.0,10096.0
2, 경기수원중부경찰서 ,2017,124.0,0,10.0,10.0,458268.0,811849.0,1270116.0,13711.0
3, 경남마산동부경찰서 ,2017,95.0,2,2.0,4.0,184825.0,119858.0,304683.0,3207.0
4, 경남마산중부경찰서 ,2017,114.0,0,1.0,1.0,542237.0,605513.0,1147750.0,10068.0
5, 경남진주경찰서 ,2017,264.0,0,8.0,8.0,805014.0,980462.0,1785476.0,6763.0
6, 경남진해경찰서 ,2017,100.0,0,1.0,1.0,112921.0,138531.0,251452.0,2515.0
7, 경남창원서부경찰서 ,2017,191.0,1,2.0,3.0,746756.0,2847490.0,3594246.0,18818.0
8, 경남창원중부경찰서 ,2017,111.0,3,11.0,14.0,227870.0,287653.0,515523.0,4644.0
9, 서울강남경찰서 ,2017,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0
10, 서울강동경찰서 ,2017,269.0,0,12.0,12.0,188487.0,230106.0,418593.0,1556.0
11, 서울강북경찰서 ,2017,186.0,0,6.0,6.0,134341.0,204805.0,339146.0,1823.0
12, 서울강서경찰서 ,2017,364.0,3,22.0,25.0,342521.0,364350.0,706871.0,1942.0
13, 서울관악경찰서 ,2017,286.0,3,20.0,23.0,320771.0,333919.0,654690.0,2289.0
14, 서울광진경찰서 ,2017,200.0,1,6.0,7.0,230322.0,203420.0,433742.0,2169.0
15, 서울구로경찰서 ,2017,260.0,1,5.0,6.0,112488.0,348080.0,460568.0,1771.0
16, 서울금천경찰서 ,2017,174.0,2,7.0,9.0,163006.0,442543.0,605549.0,3480.0
17, 서울남대문경찰서 ,2017,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0
18, 서울노원경찰서 ,2017,279.0,3,18.0,21.0,284890.0,281931.0,566821.0,2032.0
19, 서울도봉경찰서 ,2017,192.0,2,6.0,8.0,76077.0,212759.0,288836.0,1504.0
20, 서울동대문경찰서 ,2017,200.0,1,2.0,3.0,475285.0,647169.0,1122454.0,5612.0
21, 서울동작경찰서 ,2017,222.0,3,10.0,13.0,128070.0,149074.0,277144.0,1248.0
22, 서울마포경찰서 ,2017,235.0,1,7.0,8.0,1051681.0,307348.0,1359029.0,5783.0
23, 서울방배경찰서 ,2017,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0
24, 서울서대문경찰서 ,2017,232.0,1,15.0,16.0,181371.0,216202.0,397573.0,1714.0
25, 서울서부경찰서 ,2017,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0
26, 서울서초경찰서 ,2017,242.0,2,13.0,15.0,284206.0,411461.0,695667.0,2875.0
27, 서울성동경찰서 ,2017,197.0,1,11.0,12.0,228269.0,393055.0,621324.0,3154.0
28, 서울성북경찰서 ,2017,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0
29, 서울송파경찰서 ,2017,318.0,3,13.0,16.0,250145.0,389082.0,639227.0,2010.0
30, 서울수서경찰서 ,2017,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0
31, 서울양천경찰서 ,2017,244.0,0,7.0,7.0,110271.0,190360.0,300631.0,1232.0
32, 서울영등포경찰서 ,2017,239.0,1,16.0,17.0,300321.0,793273.0,1093594.0,4576.0
33, 서울용산경찰서 ,2017,167.0,0,6.0,6.0,112190.0,150720.0,262910.0,1574.0
34, 서울은평경찰서 ,2017,159.0,0,3.0,3.0,100299.0,117901.0,218200.0,1372.0
35, 서울종로경찰서 ,2017,234.0,1,3.0,4.0,193128.0,884537.0,1077665.0,4605.0
36, 서울종암경찰서 ,2017,183.0,1,8.0,9.0,182471.0,218169.0,400640.0,2189.0
37, 서울중랑경찰서 ,2017,196.0,2,5.0,7.0,171049.0,161317.0,332366.0,1696.0
38, 서울중부경찰서 ,2017,198.0,5,14.0,19.0,199688.0,285704.0,485392.0,2451.0
