관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,절도폭력_발생수,절도폭력_검거수,절도폭력_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_절폭
경기수원남부경찰서,2017,7.0,2.0,4072.0,1466.0,1.0,61.0,0.0,219.0,0.0,1.0,37.0,3.0,148.0,25.0,0.0,3.0,108.0,1.0,84.0,148.0,0.0,326.0,0.0,4224.0,22.0,774.0,3613.0,1912.0,341.0,43.0,560.0,2784.0,1817.0,318.0,344.0,691.0,1444.0,925.0,1122.0,1684.0,5866,4324,0.737,118.0,2,24.0,26.0,1084718.0,756962.0,1841679.0,21376.0,4719,148,395,3671,5.0,223,52811.0,23,13.5,12.2,498926,39101,9131,40639,50273,139144,15295,78.30000000000003
경기수원서부경찰서,2017,3.0,0.0,1869.0,1462.0,0.0,50.0,0.0,98.0,0.0,1.0,74.0,0.0,91.0,18.0,0.0,4.0,22.0,1.0,8.0,155.0,0.0,110.0,0.0,2729.0,10.0,409.0,2274.0,1063.0,220.0,21.0,402.0,1418.0,1196.0,297.0,223.0,340.0,749.0,512.0,749.0,1207.0,5670,4141,0.73,159.0,1,7.0,8.0,581020.0,618198.0,1199217.0,10096.0,2919,102,258,3961,1.0,79,28612.0,44,16.2,14.9,290873,39101,9131,40639,50273,139144,24040,70.1
경기수원중부경찰서,2017,5.0,12.0,2849.0,1273.0,0.0,61.0,1.0,38.0,0.0,0.0,35.0,1.0,143.0,29.0,0.0,4.0,20.0,2.0,34.0,77.0,0.0,61.0,0.0,3048.0,5.0,850.0,2483.0,1413.0,378.0,36.0,359.0,1284.0,1738.0,484.0,373.0,362.0,769.0,623.0,938.0,1582.0,5187,4407,0.85,124.0,0,10.0,10.0,458268.0,811849.0,1270116.0,13711.0,4447,96,333,6736,8.0,157,41116.0,20,13.7,12.2,412829,39101,9131,40639,50273,139144,18967,73.4
경남마산동부경찰서,2017,0.0,24.0,1312.0,563.0,1.0,12.0,0.0,39.0,0.0,0.0,3.0,0.0,111.0,19.0,0.0,3.0,58.0,1.0,12.0,75.0,0.0,65.0,0.0,1431.0,9.0,170.0,1126.0,658.0,170.0,4.0,146.0,593.0,798.0,243.0,170.0,226.0,426.0,294.0,348.0,660.0,3557,2726,0.7659999999999999,95.0,2,2.0,4.0,184825.0,119858.0,304683.0,3207.0,1218,65,185,5647,11.0,337,20165.0,7,6.9,7.1,202864,54889,11055,56994,66509,189447,4184,73.15
경남마산중부경찰서,2017,0.0,20.0,955.0,257.0,0.0,11.0,1.0,111.0,0.0,0.0,22.0,0.0,73.0,36.0,0.0,0.0,75.0,0.0,1.0,47.0,0.0,19.0,0.0,1047.0,7.0,72.0,801.0,446.0,130.0,3.0,86.0,368.0,572.0,218.0,130.0,127.0,313.0,222.0,272.0,443.0,3498,2641,0.755,114.0,0,1.0,1.0,542237.0,605513.0,1147750.0,10068.0,913,55,142,6843,12.0,487,21519.0,13,14.4,11.6,202864,54889,11055,56994,66509,189447,3268,77.85
경남진주경찰서,2017,0.0,0.0,2121.0,1159.0,0.0,20.0,0.0,89.0,0.0,0.0,9.0,0.0,229.0,34.0,0.0,2.0,316.0,0.0,16.0,104.0,0.0,110.0,0.0,2423.0,5.0,159.0,2034.0,1115.0,249.0,15.0,270.0,1234.0,1154.0,479.0,246.0,487.0,667.0,475.0,633.0,1136.0,3253,2600,0.799,264.0,0,8.0,8.0,805014.0,980462.0,1785476.0,6763.0,2709,127,289,6153,18.0,370,41623.0,22,12.6,8.6,353209,27844,6520,29128,28780,92272,7875,78.2
경남진해경찰서,2017,0.0,0.0,879.0,543.0,0.0,9.0,0.0,3.0,0.0,0.0,4.0,1.0,85.0,5.0,0.0,2.0,24.0,0.0,24.0,86.0,0.0,74.0,0.0,1060.0,2.0,75.0,778.0,492.0,168.0,5.0,105.0,440.0,561.0,159.0,168.0,202.0,317.0,200.0,240.0,479.0,4274,2983,0.698,100.0,0,1.0,1.0,112921.0,138531.0,251452.0,2515.0,1142,106,137,3218,39.0,304,19022.0,10,10.9,10.6,186658,54889,11055,56994,66509,189447,5558,77.7
경남창원서부경찰서,2017,0.0,1.0,591.0,984.0,1.0,5.0,0.0,152.0,0.0,0.0,10.0,2.0,105.0,21.0,0.0,0.0,103.0,0.0,20.0,83.0,0.0,38.0,0.0,1222.0,5.0,145.0,1112.0,569.0,63.0,10.0,84.0,561.0,831.0,195.0,63.0,207.0,347.0,277.0,379.0,534.0,4298,3427,0.797,191.0,1,2.0,3.0,746756.0,2847490.0,3594246.0,18818.0,1050,140,155,6078,9.0,332,20665.0,18,14.6,13.6,185322,54889,11055,56994,66509,189447,4264,76.35
경남창원중부경찰서,2017,0.0,0.0,930.0,1259.0,0.0,8.0,0.0,104.0,0.0,0.0,8.0,0.0,156.0,46.0,0.0,2.0,145.0,3.0,6.0,90.0,0.0,58.0,0.0,1641.0,4.0,158.0,1350.0,770.0,189.0,6.0,186.0,959.0,794.0,176.0,188.0,255.0,508.0,358.0,512.0,676.0,3608,3167,0.878,111.0,3,11.0,14.0,227870.0,287653.0,515523.0,4644.0,1429,136,201,2895,21.0,566,26038.0,15,13.4,13.9,295969,54889,11055,56994,66509,189447,8214,76.4
서울강남경찰서,2017,4.0,68.0,1764.0,2278.0,0.0,31.0,0.0,72.0,1.0,2.0,25.0,3.0,292.0,40.0,0.0,3.0,42.0,0.0,83.0,95.0,0.0,48.0,0.0,2877.0,28.0,734.0,2406.0,1529.0,310.0,4.0,274.0,2428.0,985.0,246.0,308.0,504.0,1030.0,757.0,898.0,1056.0,1954,1409,0.721,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0,3095,24,421,5031,585.0,297,44473.0,35,12.2,10.9,325815,17789,8699,25298,33903,85689,6723,79.4
