관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,법질서_발생수,법질서_검거수,법질서_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_법질서
경기수원남부경찰서,2017,8.0,0.0,3801.0,4081.0,1.0,86.0,0.0,75.0,0.0,1.0,45.0,341.0,1519.0,534.0,5.0,654.0,96.0,84.0,1248.0,645.0,0.0,151.0,2.0,2218.0,9.0,592.0,3498.0,2037.0,2563.0,86.0,440.0,2606.0,1934.0,454.0,2578.0,2356.0,809.0,1396.0,1771.0,1766.0,8098,7432,0.9179999999999999,118.0,2,24.0,26.0,1084718.0,756962.0,1841679.0,21376.0,4719,148,395,3671,5.0,223,52811.0,23,13.5,12.2,498926,39101,9131,40639,50273,139144,15295,67.6
경기수원서부경찰서,2017,5.0,2.0,2418.0,2935.0,0.0,51.0,0.0,62.0,0.0,0.0,51.0,220.0,822.0,399.0,1.0,737.0,54.0,40.0,1072.0,338.0,1.0,71.0,0.0,1352.0,8.0,409.0,2538.0,1294.0,1692.0,49.0,383.0,1732.0,1325.0,317.0,1718.0,1320.0,420.0,1085.0,1412.0,1287.0,6840,6193,0.905,159.0,1,7.0,8.0,581020.0,618198.0,1199217.0,10096.0,2919,102,258,3961,1.0,79,28612.0,44,16.2,14.9,290873,39101,9131,40639,50273,139144,24040,64.9
경기수원중부경찰서,2017,3.0,0.0,2833.0,3806.0,1.0,61.0,0.0,40.0,0.0,0.0,30.0,309.0,941.0,739.0,1.0,617.0,10.0,99.0,1394.0,348.0,1.0,101.0,0.0,1559.0,7.0,648.0,2894.0,1852.0,2028.0,87.0,533.0,1816.0,1785.0,506.0,2047.0,1797.0,473.0,1259.0,1615.0,1630.0,6488,7047,1.0859999999999999,124.0,0,10.0,10.0,458268.0,811849.0,1270116.0,13711.0,4447,96,333,6736,8.0,157,41116.0,20,13.7,12.2,412829,39101,9131,40639,50273,139144,18967,66.1
경남마산동부경찰서,2017,0.0,9.0,1021.0,1633.0,1.0,12.0,0.0,9.0,0.0,0.0,12.0,197.0,562.0,356.0,2.0,7.0,25.0,13.0,710.0,146.0,0.0,80.0,2.0,391.0,3.0,203.0,1310.0,735.0,652.0,26.0,159.0,819.0,810.0,229.0,654.0,972.0,165.0,449.0,547.0,564.0,5524,4852,0.878,95.0,2,2.0,4.0,184825.0,119858.0,304683.0,3207.0,1218,65,185,5647,11.0,337,20165.0,7,6.9,7.1,202864,54889,11055,56994,66509,189447,4184,64.65
경남마산중부경찰서,2017,0.0,10.0,823.0,1141.0,0.0,16.0,0.0,40.0,0.0,1.0,17.0,157.0,468.0,212.0,1.0,2.0,25.0,39.0,360.0,185.0,0.0,70.0,0.0,432.0,2.0,95.0,971.0,605.0,472.0,14.0,103.0,514.0,637.0,302.0,478.0,576.0,122.0,393.0,526.0,431.0,4109,3336,0.812,114.0,0,1.0,1.0,542237.0,605513.0,1147750.0,10068.0,913,55,142,6843,12.0,487,21519.0,13,14.4,11.6,202864,54889,11055,56994,66509,189447,3268,69.0
경남진주경찰서,2017,0.0,0.0,1667.0,2013.0,0.0,27.0,0.0,20.0,0.0,1.0,11.0,261.0,962.0,197.0,2.0,11.0,49.0,38.0,893.0,360.0,2.0,106.0,0.0,670.0,3.0,185.0,1744.0,1066.0,929.0,31.0,211.0,1203.0,1026.0,320.0,948.0,1293.0,236.0,797.0,716.0,697.0,3420,3455,1.01,264.0,0,8.0,8.0,805014.0,980462.0,1785476.0,6763.0,2709,127,289,6153,18.0,370,41623.0,22,12.6,8.6,353209,27844,6520,29128,28780,92272,7875,65.6
경남진해경찰서,2017,0.0,0.0,711.0,1276.0,0.0,16.0,0.0,3.0,0.0,0.0,8.0,176.0,439.0,281.0,0.0,19.0,6.0,2.0,346.0,210.0,0.0,51.0,0.0,383.0,2.0,99.0,784.0,482.0,748.0,29.0,57.0,483.0,514.0,175.0,756.0,487.0,120.0,558.0,451.0,398.0,6774,6433,0.95,100.0,0,1.0,1.0,112921.0,138531.0,251452.0,2515.0,1142,106,137,3218,39.0,304,19022.0,10,10.9,10.6,186658,54889,11055,56994,66509,189447,5558,65.55
경남창원서부경찰서,2017,0.0,0.0,1148.0,1475.0,0.0,25.0,0.0,63.0,0.0,0.0,23.0,142.0,607.0,115.0,0.0,11.0,22.0,4.0,711.0,251.0,0.0,45.0,0.0,688.0,2.0,136.0,1411.0,770.0,553.0,21.0,157.0,836.0,907.0,252.0,561.0,867.0,183.0,525.0,638.0,521.0,5081,4331,0.852,191.0,1,2.0,3.0,746756.0,2847490.0,3594246.0,18818.0,1050,140,155,6078,9.0,332,20665.0,18,14.6,13.6,185322,54889,11055,56994,66509,189447,4264,68.45
경남창원중부경찰서,2017,1.0,0.0,1426.0,2062.0,0.0,32.0,0.0,21.0,0.0,0.0,3.0,157.0,890.0,264.0,3.0,67.0,43.0,3.0,856.0,284.0,1.0,86.0,1.0,723.0,3.0,164.0,1725.0,969.0,851.0,16.0,225.0,1288.0,979.0,167.0,870.0,1209.0,228.0,641.0,792.0,675.0,3935,4236,1.0759999999999998,111.0,3,11.0,14.0,227870.0,287653.0,515523.0,4644.0,1429,136,201,2895,21.0,566,26038.0,15,13.4,13.9,295969,54889,11055,56994,66509,189447,8214,64.0
서울강남경찰서,2017,5.0,24.0,2928.0,6520.0,0.0,94.0,0.0,136.0,0.0,2.0,57.0,516.0,3519.0,726.0,0.0,246.0,149.0,90.0,1606.0,292.0,0.0,162.0,4.0,1870.0,14.0,572.0,4351.0,2788.0,2627.0,19.0,265.0,3471.0,2561.0,676.0,2774.0,4333.0,840.0,1382.0,1674.0,1537.0,2697,2808,1.041,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0,3095,24,421,5031,585.0,297,44473.0,35,12.2,10.9,325815,17789,8699,25298,33903,85689,6723,69.0
