관할서,연도,crm_wthr_눈,crm_wthr_만월,crm_wthr_맑음,crm_wthr_미상,crm_wthr_바람,crm_wthr_비,crm_wthr_안개,crm_wthr_암흑,crm_wthr_폭설,crm_wthr_폭풍우,crm_wthr_흐림,crm_clue_고발,crm_clue_고소,crm_clue_기타,crm_clue_변사체,crm_clue_불심검문,crm_clue_여죄,crm_clue_자수,crm_clue_진정,crm_clue_타인신고,crm_clue_탄원,crm_clue_탐문정보,crm_clue_투서,crm_clue_피해자신고,crm_clue_피해품발견,crm_clue_현행범,vic_sx_1,vic_sx_2,vic_sx_3,vic_age_0_12세,vic_age_10대,vic_age_2_30대,vic_age_4_50대,vic_age_60세초과,vic_age_미상,crm_tm_미상,crm_tm_새벽,crm_tm_오전,crm_tm_오후,crm_tm_저녁,전반적_발생수,전반적_검거수,전반적_검거율,화재건수,화재_사망,화재_부상,화재_인명피해_계,화재_부동산피해_천원,화재_동산피해_천원,화재_재산피해_천원,화재_재산피해_건당천원,cctv_개수,공원_개수,배치인원_수,보안등_개수,비상벨_개수,유흥업소_개수,일인가구수,자살건수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,총_인구수,기초수급_19세이하,기초수급_20_34세,기초수급_35_59세,기초수급_60세이상,기초수급_총합,외국인수,score_전반
경기수원남부경찰서,2017,32.0,2.0,13004.0,5949.0,2.0,248.0,1.0,384.0,1.0,2.0,131.0,349.0,1705.0,719.0,5.0,3681.0,206.0,122.0,1332.0,1275.0,0.0,496.0,2.0,8383.0,32.0,1449.0,8461.0,4736.0,6559.0,149.0,1110.0,6460.0,4563.0,898.0,6576.0,4052.0,3697.0,3074.0,3616.0,5317.0,19756,16775,0.8490000000000001,118.0,2,24.0,26.0,1084718.0,756962.0,1841679.0,21376.0,4719,148,395,3671,5.0,223,52811.0,23,13.5,12.2,498926,39101,9131,40639,50273,139144,15295,74.4
경기수원서부경찰서,2017,18.0,2.0,6180.0,4595.0,0.0,135.0,1.0,172.0,0.0,1.0,150.0,225.0,931.0,545.0,1.0,1950.0,78.0,60.0,1081.0,768.0,1.0,189.0,0.0,4526.0,18.0,881.0,5209.0,2622.0,3423.0,89.0,838.0,3447.0,2763.0,665.0,3452.0,1856.0,1477.0,1993.0,2572.0,3356.0,17846,15619,0.875,159.0,1,7.0,8.0,581020.0,618198.0,1199217.0,10096.0,2919,102,258,3961,1.0,79,28612.0,44,16.2,14.9,290873,39101,9131,40639,50273,139144,24040,68.5
경기수원중부경찰서,2017,15.0,12.0,8121.0,5646.0,1.0,177.0,1.0,166.0,0.0,0.0,94.0,319.0,1124.0,1100.0,2.0,1884.0,32.0,133.0,1430.0,650.0,2.0,180.0,0.0,5755.0,12.0,1610.0,6295.0,3848.0,4090.0,152.0,976.0,3694.0,4132.0,1175.0,4104.0,2449.0,1713.0,2554.0,3259.0,4258.0,16148,16021,0.992,124.0,0,10.0,10.0,458268.0,811849.0,1270116.0,13711.0,4447,96,333,6736,8.0,157,41116.0,20,13.7,12.2,412829,39101,9131,40639,50273,139144,18967,70.85
경남마산동부경찰서,2017,0.0,33.0,3486.0,2266.0,2.0,44.0,0.0,57.0,0.0,0.0,26.0,199.0,686.0,474.0,2.0,870.0,84.0,17.0,724.0,315.0,1.0,151.0,2.0,1980.0,12.0,397.0,2610.0,1522.0,1782.0,38.0,328.0,1522.0,1726.0,514.0,1786.0,1417.0,803.0,907.0,1058.0,1729.0,11254,9682,0.86,95.0,2,2.0,4.0,184825.0,119858.0,304683.0,3207.0,1218,65,185,5647,11.0,337,20165.0,7,6.9,7.1,202864,54889,11055,56994,66509,189447,4184,70.75
경남마산중부경찰서,2017,0.0,30.0,2711.0,1713.0,0.0,45.0,1.0,155.0,0.0,1.0,62.0,172.0,552.0,322.0,1.0,904.0,100.0,44.0,362.0,325.0,0.0,90.0,1.0,1659.0,9.0,177.0,1931.0,1170.0,1617.0,26.0,212.0,979.0,1317.0,561.0,1623.0,812.0,820.0,712.0,1082.0,1292.0,9799,8220,0.8390000000000001,114.0,0,1.0,1.0,542237.0,605513.0,1147750.0,10068.0,913,55,142,6843,12.0,487,21519.0,13,14.4,11.6,202864,54889,11055,56994,66509,189447,3268,74.44999999999997
경남진주경찰서,2017,1.0,0.0,5942.0,3560.0,0.0,78.0,1.0,123.0,0.0,1.0,27.0,267.0,1240.0,459.0,3.0,1665.0,368.0,45.0,911.0,805.0,2.0,218.0,0.0,3383.0,8.0,359.0,4001.0,2383.0,3349.0,69.0,534.0,2549.0,2344.0,873.0,3364.0,2008.0,1612.0,1611.0,1711.0,2791.0,8727,8210,0.941,264.0,0,8.0,8.0,805014.0,980462.0,1785476.0,6763.0,2709,127,289,6153,18.0,370,41623.0,22,12.6,8.6,353209,27844,6520,29128,28780,92272,7875,73.6
경남진해경찰서,2017,0.0,0.0,2797.0,1855.0,1.0,48.0,0.0,15.0,0.0,0.0,17.0,185.0,537.0,348.0,0.0,905.0,30.0,5.0,372.0,402.0,0.0,125.0,0.0,1636.0,4.0,184.0,1689.0,1090.0,1954.0,41.0,186.0,1012.0,1167.0,364.0,1963.0,838.0,675.0,945.0,873.0,1402.0,14233,12064,0.848,100.0,0,1.0,1.0,112921.0,138531.0,251452.0,2515.0,1142,106,137,3218,39.0,304,19022.0,10,10.9,10.6,186658,54889,11055,56994,66509,189447,5558,72.75
경남창원서부경찰서,2017,0.0,1.0,3389.0,2526.0,1.0,52.0,0.0,231.0,0.0,0.0,83.0,150.0,724.0,171.0,0.0,1226.0,125.0,9.0,733.0,501.0,0.0,87.0,0.0,2248.0,7.0,302.0,2756.0,1478.0,2049.0,35.0,273.0,1535.0,1890.0,492.0,2058.0,1394.0,885.0,972.0,1213.0,1819.0,12978,11278,0.8690000000000001,191.0,1,2.0,3.0,746756.0,2847490.0,3594246.0,18818.0,1050,140,155,6078,9.0,332,20665.0,18,14.6,13.6,185322,54889,11055,56994,66509,189447,4264,73.35
경남창원중부경찰서,2017,1.0,0.0,4113.0,3426.0,0.0,68.0,0.0,272.0,0.0,0.0,15.0,185.0,1069.0,461.0,3.0,1418.0,189.0,6.0,864.0,556.0,1.0,146.0,1.0,2643.0,7.0,346.0,3351.0,1943.0,2601.0,35.0,461.0,2453.0,1943.0,383.0,2620.0,1790.0,1247.0,1261.0,1633.0,1964.0,10411,10362,0.995,111.0,3,11.0,14.0,227870.0,287653.0,515523.0,4644.0,1429,136,201,2895,21.0,566,26038.0,15,13.4,13.9,295969,54889,11055,56994,66509,189447,8214,71.65
서울강남경찰서,2017,21.0,92.0,6639.0,9372.0,0.0,177.0,0.0,343.0,1.0,4.0,407.0,523.0,3914.0,1126.0,1.0,1245.0,197.0,99.0,1704.0,644.0,0.0,214.0,4.0,5903.0,42.0,1440.0,7595.0,5002.0,4459.0,34.0,615.0,6770.0,3991.0,1042.0,4604.0,5098.0,2632.0,2736.0,3045.0,3545.0,5914,5459,0.9229999999999999,502.0,0,11.0,11.0,771016.0,794242.0,1565258.0,3118.0,3095,24,421,5031,585.0,297,44473.0,35,12.2,10.9,325815,17789,8699,25298,33903,85689,6723,75.15
