관할서,연도,crm_clue_고소,crm_wthr_바람,crm_clue_현행범,crm_clue_피해자신고,vic_sx_2,vic_age_60세초과,cctv_개수,배치인원_수,비상벨_개수,일인가구수,기초수급_19세이하,외국인수,score_절폭
경기수원남부경찰서,2020,186.0,0.0,446.0,3757.0,1615.0,331.0,4719,395,85.0,65729,48972,9305,77.44999999999997
경기수원서부경찰서,2020,76.0,0.0,251.0,2457.0,1019.0,355.0,2919,258,66.0,32186,48972,14449,73.15
경기수원중부경찰서,2020,126.0,0.0,364.0,2522.0,1247.0,495.0,4447,333,52.0,45899,48972,11715,78.1
경남마산동부경찰서,2020,85.0,0.0,120.0,1269.0,551.0,282.0,1218,185,11.0,21943,80959,2099,75.55
경남마산중부경찰서,2020,65.0,0.0,38.0,839.0,355.0,232.0,913,142,14.0,22631,80959,1867,80.3
경남진주경찰서,2020,184.0,0.0,122.0,1918.0,854.0,433.0,2709,289,763.0,49332,36274,4658,77.30000000000003
경남진해경찰서,2020,93.0,1.0,48.0,879.0,373.0,147.0,1142,137,39.0,22223,80959,3123,76.05
경남창원서부경찰서,2020,71.0,0.0,79.0,1134.0,483.0,214.0,1050,155,11.0,22831,80959,2208,78.55
경남창원중부경찰서,2020,131.0,0.0,72.0,1476.0,576.0,164.0,1429,201,28.0,29533,80959,4731,79.19999999999997
서울강남경찰서,2020,190.0,1.0,271.0,2550.0,1224.0,223.0,3095,421,649.0,48376,21113,3828,82.15
서울강동경찰서,2020,221.0,0.0,693.0,1898.0,1064.0,468.0,2619,393,2.0,50316,24777,14605,77.5
서울강북경찰서,2020,116.0,0.0,603.0,2102.0,1149.0,477.0,2299,347,22.0,45685,35548,6949,74.1
서울강서경찰서,2020,164.0,1.0,424.0,2851.0,1383.0,525.0,2377,500,850.0,86172,41381,13427,74.85
서울관악경찰서,2020,231.0,1.0,691.0,2808.0,1385.0,581.0,4825,493,980.0,129233,28427,14177,73.15
서울광진경찰서,2020,147.0,0.0,420.0,2110.0,1030.0,292.0,6459,380,1519.0,62301,22892,4860,77.65
서울구로경찰서,2020,118.0,1.0,468.0,3003.0,1198.0,554.0,3659,395,820.0,50971,23219,3514,72.85
서울금천경찰서,2020,126.0,0.0,462.0,1602.0,867.0,330.0,4226,274,653.0,42334,20343,2104,72.1
서울남대문경찰서,2020,68.0,0.0,263.0,995.0,524.0,173.0,725,186,203.0,3510,6478,2637,79.7
서울노원경찰서,2020,226.0,0.0,417.0,2381.0,1179.0,480.0,1998,415,61.0,56438,49913,3995,79.5
서울도봉경찰서,2020,74.0,0.0,204.0,1280.0,556.0,289.0,10,273,622.0,34884,30869,10779,79.65
서울동대문경찰서,2020,170.0,0.0,479.0,1890.0,915.0,521.0,26,429,4.0,60925,23646,9968,75.8
서울동작경찰서,2020,161.0,0.0,355.0,1935.0,924.0,406.0,2033,353,1107.0,64101,18449,3530,76.75
서울마포경찰서,2020,139.0,0.0,558.0,2420.0,1153.0,307.0,2317,458,821.0,63172,16329,5716,80.95
서울방배경찰서,2020,62.0,0.0,128.0,486.0,240.0,113.0,2691,141,4.0,10908,12616,1075,83.55
서울서대문경찰서,2020,104.0,0.0,308.0,1629.0,820.0,335.0,2938,322,401.0,49863,19288,28080,79.5
서울서부경찰서,2020,47.0,1.0,213.0,814.0,409.0,188.0,1870,221,241.0,23428,44183,1833,76.6
서울서초경찰서,2020,180.0,0.0,463.0,2294.0,1176.0,270.0,4237,339,5.0,33034,12616,2824,84.19999999999997
서울성동경찰서,2020,86.0,0.0,420.0,1366.0,607.0,259.0,3241,320,818.0,42585,15530,16102,78.30000000000003
서울성북경찰서,2020,68.0,0.0,166.0,647.0,365.0,185.0,2015,252,535.0,36207,30625,6105,79.5
서울송파경찰서,2020,341.0,3.0,653.0,3042.0,1431.0,492.0,2096,538,879.0,73694,31786,27887,83.4
서울수서경찰서,2020,224.0,0.0,260.0,1265.0,659.0,232.0,3124,312,760.0,20623,21113,996,83.65
서울양천경찰서,2020,100.0,0.0,331.0,1934.0,868.0,388.0,2921,376,677.0,39436,33214,10352,80.4
서울영등포경찰서,2020,164.0,0.0,689.0,3402.0,1452.0,710.0,3775,513,1102.0,64000,13120,14743,73.05000000000003
서울용산경찰서,2020,196.0,0.0,518.0,1444.0,729.0,253.0,2051,343,1024.0,36881,10987,5966,81.95
서울은평경찰서,2020,91.0,9.0,299.0,1291.0,693.0,256.0,1796,203,291.0,34425,44183,2375,75.95
서울종로경찰서,2020,72.0,1.0,368.0,1048.0,510.0,287.0,805,285,68.0,35880,5516,2695,85.25
서울종암경찰서,2020,94.0,0.0,204.0,875.0,451.0,240.0,1855,176,502.0,25303,30625,3798,75.8
서울중랑경찰서,2020,163.0,0.0,431.0,2586.0,1298.0,557.0,4469,406,1780.0,56605,46362,4028,71.85
서울중부경찰서,2020,84.0,0.0,345.0,1319.0,632.0,272.0,1563,236,406.0,19308,6478,6758,77.4
서울혜화경찰서,2020,63.0,1.0,246.0,805.0,416.0,239.0,784,213,42.0,42069,5516,6917,74.6
충남세종경찰서,2020,114.0,1.0,27.0,1104.0,502.0,150.0,2527,178,39.0,43577,19178,7244,80.05000000000003
