관할서,연도,crm_clue_변사체,crm_clue_자수,crm_clue_진정,crm_clue_현행범,crm_tm_저녁,vic_sx_1,강도살인_검거수,화재_사망,화재_부상,화재_부동산피해_천원,공원_개수,자살_사망률_10만명당,자살_연령표준화사망률_10만명당,기초수급_35_59세,기초수급_60세이상,외국인수,score_강살
경기수원남부경찰서,2020,0.0,0.0,0.0,4.0,6.0,7.0,10.0,0,8.0,1087295.0,148,16.2,16.1,77990,122389,9305,79.15
경기수원서부경찰서,2020,1.0,0.0,0.0,2.0,5.0,4.0,15.0,2,8.0,1024919.0,102,20.75,17.85,77990,122389,14449,75.0
경기수원중부경찰서,2020,0.0,0.0,0.0,1.0,1.0,2.0,10.0,1,11.0,463899.0,96,14.4,13.2,77990,122389,11715,79.8
경남마산동부경찰서,2020,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1,5.0,81174.0,65,15.5,18.8,113546,164585,2099,77.35
경남마산중부경찰서,2020,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1,8.0,732227.0,55,11.2,11.7,113546,164585,1867,80.25
경남진주경찰서,2020,0.0,0.0,0.0,1.0,3.0,3.0,9.0,2,7.0,1002168.0,127,16.1,15.1,50900,64143,4658,78.6
경남진해경찰서,2020,0.0,0.0,0.0,0.0,1.0,1.0,14.0,1,2.0,959707.0,106,15.9,16.0,113546,164585,3123,79.1
경남창원서부경찰서,2020,0.0,0.0,0.0,1.0,1.0,1.0,18.0,0,4.0,174488.0,140,21.6,20.6,113546,164585,2208,80.35
경남창원중부경찰서,2020,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0,3.0,186210.0,136,9.2,9.2,113546,164585,4731,81.19999999999997
서울강남경찰서,2020,0.0,0.0,0.0,1.0,2.0,0.0,6.0,1,18.0,923684.0,24,19.5,19.2,45815,77293,3828,83.65
서울강동경찰서,2020,0.0,0.0,0.0,6.0,3.0,13.0,4.0,3,19.0,155078.0,72,19.5,17.1,46896,68456,14605,79.15
서울강북경찰서,2020,0.0,0.0,0.0,4.0,1.0,3.0,4.0,1,5.0,99841.0,41,15.7,13.0,65633,103682,6949,77.0
서울강서경찰서,2020,4.0,1.0,0.0,1.0,3.0,6.0,15.0,3,5.0,91566.0,139,13.9,11.6,88163,152898,13427,74.5
서울관악경찰서,2020,0.0,0.0,0.0,6.0,4.0,8.0,7.0,2,15.0,249984.0,78,15.9,13.9,66336,100761,14177,74.5
서울광진경찰서,2020,1.0,0.0,0.0,0.0,1.0,4.0,16.0,0,4.0,199281.0,34,12.8,9.9,42650,52905,4860,78.44999999999997
서울구로경찰서,2020,0.0,1.0,0.0,1.0,1.0,7.0,19.0,2,6.0,208681.0,45,12.8,11.8,36710,61567,3514,74.9
서울금천경찰서,2020,0.0,0.0,0.0,4.0,3.0,6.0,12.0,2,9.0,256259.0,50,20.4,19.4,38883,60316,2104,73.2
서울남대문경찰서,2020,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0,10.0,573942.0,16,8.1,8.8,16092,33159,2637,82.0
서울노원경찰서,2020,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0,11.0,133610.0,167,14.6,11.9,104315,162147,3995,81.0
서울도봉경찰서,2020,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0,7.0,184209.0,71,15.9,14.0,46224,64207,10779,81.55
서울동대문경찰서,2020,0.0,0.0,0.0,5.0,3.0,8.0,5.0,6,17.0,543066.0,14,13.5,12.2,47479,85930,9968,79.1
서울동작경찰서,2020,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0,7.0,81609.0,53,12.0,9.2,38830,64964,3530,78.1
서울마포경찰서,2020,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3,29.0,1349817.0,82,14.0,11.8,31915,55069,5716,82.85
서울방배경찰서,2020,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1,10.0,234894.0,25,11.8,11.6,21634,33495,1075,83.6
서울서대문경찰서,2020,0.0,0.0,0.0,1.0,1.0,3.0,4.0,3,4.0,507160.0,58,21.0,17.3,30492,53458,28080,81.0
서울서부경찰서,2020,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2,6.0,270762.0,46,15.5,12.8,72209,111644,1833,77.35
서울서초경찰서,2020,0.0,0.0,0.0,2.0,0.0,3.0,5.0,1,10.0,234894.0,88,11.8,11.6,21634,33495,2824,86.35
서울성동경찰서,2020,0.0,0.0,0.0,1.0,3.0,3.0,6.0,0,2.0,126408.0,54,10.5,10.2,32375,52729,16102,81.3
서울성북경찰서,2020,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0,11.0,187204.0,29,13.5,11.3,48861,79450,6105,82.9
서울송파경찰서,2020,0.0,0.0,1.0,3.0,5.0,11.0,8.0,1,7.0,184717.0,140,11.7,9.6,53325,72330,27887,86.2
서울수서경찰서,2020,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1,18.0,923684.0,70,19.5,19.2,45815,77293,996,82.69999999999997
서울양천경찰서,2020,0.0,0.0,0.0,3.0,2.0,4.0,14.0,0,4.0,86760.0,95,13.8,13.4,50228,79031,10352,81.5
서울영등포경찰서,2020,0.0,0.0,0.0,6.0,6.0,6.0,5.0,3,8.0,279030.0,44,11.6,10.3,35595,61550,14743,76.75
서울용산경찰서,2020,0.0,0.0,0.0,1.0,1.0,4.0,7.0,0,5.0,64235.0,45,11.5,11.1,27685,44773,5966,84.6
서울은평경찰서,2020,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2,6.0,270762.0,54,15.5,12.8,72209,111644,2375,79.0
서울종로경찰서,2020,0.0,0.0,0.0,1.0,0.0,4.0,5.0,2,5.0,192633.0,29,12.0,11.4,16072,28596,2695,86.3
서울종암경찰서,2020,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0,11.0,187204.0,22,13.5,11.3,48861,79450,3798,79.35
서울중랑경찰서,2020,2.0,0.0,0.0,2.0,0.0,6.0,3.0,2,12.0,114412.0,54,17.6,15.4,80331,116848,4028,74.85
서울중부경찰서,2020,0.0,0.0,0.0,1.0,2.0,4.0,7.0,0,10.0,573942.0,14,8.1,8.8,16092,33159,6758,79.75
서울혜화경찰서,2020,1.0,0.0,0.0,1.0,1.0,2.0,9.0,2,5.0,192633.0,13,12.0,11.4,16072,28596,6917,75.2
충남세종경찰서,2020,0.0,0.0,0.0,1.0,2.0,1.0,4.0,2,16.0,1227512.0,88,18.4,18.2,20354,27770,7244,82.4
