,관할서,연도,crm_wthr_눈,crm_clue_피해자신고,vic_age_2_30대,일인가구수,총_인구수,기초수급_19세이하,기초수급_60세이상,외국인수,score_교통
0,경기수원남부경찰서,2020,4.0,1523.0,744.0,65729,509814,48972,122389,9305,69.30000000000001
1,경기수원서부경찰서,2020,3.0,989.0,482.0,32186,292598,48972,122389,14449,68.45
2,경기수원중부경찰서,2020,2.0,1041.0,519.0,45899,383666,48972,122389,11715,70.8
3,경남마산동부경찰서,2020,1.0,232.0,127.0,21943,191289,80959,164585,2099,67.9
4,경남마산중부경찰서,2020,0.0,389.0,128.0,22631,175716,80959,164585,1867,70.15
5,경남진주경찰서,2020,0.0,375.0,187.0,49332,348096,36274,64143,4658,69.35
6,경남진해경찰서,2020,1.0,489.0,213.0,22223,192755,80959,164585,3123,67.9
7,경남창원서부경찰서,2020,0.0,437.0,199.0,22831,194417,80959,164585,2208,70.0
8,경남창원중부경찰서,2020,0.0,449.0,220.0,29533,282561,80959,164585,4731,70.15
9,서울강남경찰서,2020,1.0,1180.0,1043.0,48376,314971,21113,77293,3828,67.19999999999999
10,서울강동경찰서,2020,1.0,1148.0,443.0,50316,459970,24777,68456,14605,71.15
11,서울강북경찰서,2020,2.0,858.0,397.0,45685,308055,35548,103682,6949,72.75
12,서울강서경찰서,2020,2.0,419.0,568.0,86172,580185,41381,152898,13427,69.8
13,서울관악경찰서,2020,2.0,876.0,505.0,129233,495060,28427,100761,14177,65.5
14,서울광진경찰서,2020,1.0,717.0,350.0,62301,346682,22892,52905,4860,68.85
15,서울구로경찰서,2020,1.0,884.0,483.0,50971,404408,23219,61567,3514,67.69999999999999
16,서울금천경찰서,2020,1.0,702.0,332.0,42334,231733,20343,60316,2104,66.9
17,서울남대문경찰서,2020,1.0,436.0,216.0,3510,22617,6478,33159,2637,75.5
18,서울노원경찰서,2020,4.0,965.0,453.0,56438,523037,49913,162147,3995,71.15
19,서울도봉경찰서,2020,0.0,394.0,180.0,34884,325257,30869,64207,10779,72.9
20,서울동대문경찰서,2020,0.0,690.0,398.0,60925,342837,23646,85930,9968,70.75
21,서울동작경찰서,2020,3.0,795.0,487.0,64101,391220,18449,64964,3530,66.19999999999999
22,서울마포경찰서,2020,3.0,908.0,543.0,63172,371890,16329,55069,5716,71.0
23,서울방배경찰서,2020,0.0,356.0,179.0,10908,131711,12616,33495,1075,74.30000000000003
24,서울서대문경찰서,2020,3.0,758.0,315.0,49863,312173,19288,53458,28080,70.55
25,서울서부경찰서,2020,3.0,272.0,108.0,23428,196042,44183,111644,1833,69.15
26,서울서초경찰서,2020,2.0,1354.0,694.0,33034,293415,12616,33495,2824,71.95
27,서울성동경찰서,2020,1.0,759.0,369.0,42585,293556,15530,52729,16102,72.95
28,서울성북경찰서,2020,3.0,489.0,267.0,36207,246530,30625,79450,6105,70.65
29,서울송파경찰서,2020,1.0,2264.0,1042.0,73694,667960,31786,72330,27887,73.4
30,서울수서경찰서,2020,1.0,1132.0,528.0,20623,224260,21113,77293,996,71.1
31,서울양천경찰서,2020,2.0,996.0,479.0,39436,454251,33214,79031,10352,71.94999999999997
32,서울영등포경찰서,2020,7.0,1600.0,901.0,64000,379480,13120,61550,14743,70.25
33,서울용산경찰서,2020,1.0,768.0,486.0,36881,230040,10987,44773,5966,71.75
34,서울은평경찰서,2020,0.0,389.0,181.0,34425,283793,44183,111644,2375,68.95
35,서울종로경찰서,2020,1.0,341.0,207.0,35880,75068,5516,28596,2695,71.2
36,서울종암경찰서,2020,1.0,474.0,225.0,25303,190623,30625,79450,3798,71.25
37,서울중랑경찰서,2020,1.0,993.0,427.0,56605,394702,46362,116848,4028,67.35
38,서울중부경찰서,2020,0.0,343.0,188.0,19308,102623,6478,33159,6758,67.94999999999999
39,서울혜화경찰서,2020,1.0,327.0,160.0,42069,74316,5516,28596,6917,68.6
40,충남세종경찰서,2020,2.0,485.0,221.0,43577,355831,19178,27770,7244,69.94999999999999
