,관할서,연도,crm_clue_자수,crm_clue_타인신고,crm_clue_현행범,crm_clue_탐문정보,vic_sx_2,기초수급_19세이하,기초수급_20_34세,crm_tm_새벽,화재_사망,cctv_개수,배치인원_수,비상벨_개수,일인가구수,score_법질서
0,경기수원남부경찰서,2020,6.0,499.0,434.0,47.0,1789.0,48972,18582,613.0,0,4719,395,85.0,65729,72.19999999999997
1,경기수원서부경찰서,2020,4.0,250.0,321.0,12.0,1063.0,48972,18582,261.0,2,2919,258,66.0,32186,68.85
2,경기수원중부경찰서,2020,6.0,314.0,417.0,25.0,1229.0,48972,18582,322.0,1,4447,333,52.0,45899,72.75
3,경남마산동부경찰서,2020,2.0,100.0,134.0,17.0,556.0,80959,27092,87.0,1,1218,185,11.0,21943,69.4
4,경남마산중부경찰서,2020,2.0,52.0,83.0,7.0,339.0,80959,27092,83.0,1,913,142,14.0,22631,72.80000000000003
5,경남진주경찰서,2020,5.0,183.0,191.0,18.0,768.0,36274,11965,157.0,2,2709,289,763.0,49332,73.5
6,경남진해경찰서,2020,2.0,90.0,82.0,21.0,331.0,80959,27092,75.0,1,1142,137,39.0,22223,70.15
7,경남창원서부경찰서,2020,2.0,99.0,114.0,12.0,473.0,80959,27092,121.0,0,1050,155,11.0,22831,71.9
8,경남창원중부경찰서,2020,0.0,118.0,108.0,15.0,739.0,80959,27092,156.0,0,1429,201,28.0,29533,73.69999999999997
9,서울강남경찰서,2020,15.0,380.0,307.0,48.0,1664.0,21113,14586,437.0,1,3095,421,649.0,48376,72.4
10,서울강동경찰서,2020,6.0,269.0,354.0,21.0,914.0,24777,12227,275.0,3,2619,393,2.0,50316,71.05
11,서울강북경찰서,2020,7.0,261.0,492.0,9.0,964.0,35548,16872,404.0,1,2299,347,22.0,45685,70.2
12,서울강서경찰서,2020,7.0,373.0,516.0,20.0,1458.0,41381,25216,465.0,3,2377,500,850.0,86172,68.45
13,서울관악경찰서,2020,7.0,392.0,657.0,20.0,1546.0,28427,20072,595.0,2,4825,493,980.0,129233,66.6
14,서울광진경찰서,2020,5.0,285.0,326.0,14.0,1078.0,22892,12362,374.0,0,6459,380,1519.0,62301,69.5
15,서울구로경찰서,2020,9.0,244.0,407.0,15.0,1184.0,23219,10103,277.0,2,3659,395,820.0,50971,67.55
16,서울금천경찰서,2020,11.0,172.0,366.0,22.0,804.0,20343,9570,224.0,2,4226,274,653.0,42334,66.44999999999999
17,서울남대문경찰서,2020,4.0,75.0,134.0,14.0,548.0,6478,2912,49.0,0,725,186,203.0,3510,72.0
18,서울노원경찰서,2020,2.0,256.0,262.0,31.0,1077.0,49913,30945,245.0,0,1998,415,61.0,56438,72.95
19,서울도봉경찰서,2020,2.0,167.0,137.0,21.0,643.0,30869,12464,146.0,0,10,273,622.0,34884,71.5
20,서울동대문경찰서,2020,6.0,227.0,369.0,29.0,917.0,23646,10627,318.0,6,26,429,4.0,60925,70.3
21,서울동작경찰서,2020,6.0,155.0,197.0,15.0,937.0,18449,12008,221.0,0,2033,353,1107.0,64101,70.25
22,서울마포경찰서,2020,6.0,267.0,437.0,15.0,1170.0,16329,9793,461.0,3,2317,458,821.0,63172,74.05000000000003
23,서울방배경찰서,2020,2.0,52.0,64.0,4.0,411.0,12616,6742,79.0,1,2691,141,4.0,10908,75.94999999999997
24,서울서대문경찰서,2020,2.0,173.0,236.0,51.0,1050.0,19288,8611,231.0,3,2938,322,401.0,49863,71.65
25,서울서부경찰서,2020,3.0,95.0,132.0,10.0,357.0,44183,22300,109.0,2,1870,221,241.0,23428,69.85
26,서울서초경찰서,2020,10.0,292.0,347.0,20.0,1322.0,12616,6742,385.0,1,4237,339,5.0,33034,76.15
27,서울성동경찰서,2020,3.0,119.0,211.0,14.0,815.0,15530,8294,157.0,0,3241,320,818.0,42585,72.3
28,서울성북경찰서,2020,1.0,108.0,93.0,4.0,579.0,30625,13009,104.0,0,2015,252,535.0,36207,73.3
29,서울송파경찰서,2020,10.0,394.0,492.0,18.0,1773.0,31786,17159,487.0,1,2096,538,879.0,73694,76.35
30,서울수서경찰서,2020,1.0,177.0,188.0,17.0,1102.0,21113,14586,216.0,1,3124,312,760.0,20623,75.35
31,서울양천경찰서,2020,6.0,183.0,269.0,19.0,889.0,33214,14753,201.0,0,2921,376,677.0,39436,72.35
32,서울영등포경찰서,2020,10.0,237.0,625.0,17.0,1477.0,13120,6719,379.0,3,3775,513,1102.0,64000,69.6
33,서울용산경찰서,2020,7.0,184.0,384.0,24.0,863.0,10987,5343,356.0,0,2051,343,1024.0,36881,76.05
34,서울은평경찰서,2020,2.0,116.0,229.0,21.0,673.0,44183,22300,188.0,2,1796,203,291.0,34425,69.8
35,서울종로경찰서,2020,4.0,130.0,248.0,4.0,445.0,5516,2985,127.0,2,805,285,68.0,35880,75.6
36,서울종암경찰서,2020,5.0,96.0,122.0,8.0,419.0,30625,13009,84.0,0,1855,176,502.0,25303,69.75
37,서울중랑경찰서,2020,9.0,281.0,412.0,21.0,1077.0,46362,19807,350.0,2,4469,406,1780.0,56605,66.30000000000001
38,서울중부경찰서,2020,2.0,156.0,221.0,12.0,725.0,6478,2912,159.0,0,1563,236,406.0,19308,68.15
39,서울혜화경찰서,2020,0.0,146.0,190.0,16.0,506.0,5516,2985,115.0,2,784,213,42.0,42069,66.4
40,충남세종경찰서,2020,0.0,117.0,53.0,9.0,491.0,19178,5176,62.0,2,2527,178,39.0,43577,72.95
