,관할서,연도,crm_wthr_흐림,crm_clue_타인신고,crm_clue_피해자신고,crm_clue_현행범,crm_tm_저녁,화재_사망,배치인원_수,비상벨_개수,기초수급_19세이하,외국인수,score_전반
0,경기수원남부경찰서,2020,121.0,1348.0,7019.0,953.0,4063.0,0,395,85.0,48972,9305,74.5
1,경기수원서부경찰서,2020,163.0,800.0,4443.0,609.0,2596.0,2,258,66.0,48972,14449,71.5
2,경기수원중부경찰서,2020,66.0,844.0,4550.0,841.0,3039.0,1,333,52.0,48972,11715,75.3
3,경남마산동부경찰서,2020,47.0,356.0,1889.0,273.0,1196.0,1,185,11.0,80959,2099,72.75
4,경남마산중부경찰서,2020,31.0,195.0,1503.0,129.0,880.0,1,142,14.0,80959,1867,75.3
5,경남진주경찰서,2020,28.0,725.0,2756.0,334.0,1978.0,2,289,763.0,36274,4658,75.44999999999997
6,경남진해경찰서,2020,20.0,300.0,1599.0,134.0,890.0,1,137,39.0,80959,3123,74.15
7,경남창원서부경찰서,2020,55.0,539.0,1911.0,210.0,1291.0,0,155,11.0,80959,2208,75.65
8,경남창원중부경찰서,2020,29.0,386.0,2632.0,191.0,1403.0,0,201,28.0,80959,4731,75.1
9,서울강남경찰서,2020,76.0,838.0,5092.0,654.0,2780.0,1,421,649.0,21113,3828,75.69999999999997
10,서울강동경찰서,2020,152.0,655.0,3759.0,1137.0,2313.0,3,393,2.0,24777,14605,74.45
11,서울강북경찰서,2020,310.0,520.0,3813.0,1184.0,2219.0,1,347,22.0,35548,6949,71.2
12,서울강서경찰서,2020,164.0,749.0,4551.0,1026.0,3059.0,3,500,850.0,41381,13427,70.45
13,서울관악경찰서,2020,116.0,801.0,5103.0,1480.0,3074.0,2,493,980.0,28427,14177,69.35
14,서울광진경찰서,2020,134.0,548.0,3937.0,820.0,2304.0,0,380,1519.0,22892,4860,74.15
15,서울구로경찰서,2020,76.0,623.0,5183.0,956.0,2845.0,2,395,820.0,23219,3514,70.3
16,서울금천경찰서,2020,54.0,441.0,2977.0,893.0,1921.0,2,274,653.0,20343,2104,69.15
17,서울남대문경찰서,2020,62.0,164.0,1841.0,432.0,997.0,0,186,203.0,6478,2637,76.85
18,서울노원경찰서,2020,115.0,679.0,4308.0,735.0,2283.0,0,415,61.0,49913,3995,76.30000000000003
19,서울도봉경찰서,2020,126.0,420.0,2197.0,364.0,1322.0,0,273,622.0,30869,10779,75.05
20,서울동대문경찰서,2020,146.0,505.0,3408.0,913.0,2160.0,6,429,4.0,23646,9968,73.9
21,서울동작경찰서,2020,245.0,387.0,3656.0,627.0,1995.0,0,353,1107.0,18449,3530,72.45
22,서울마포경찰서,2020,83.0,661.0,4535.0,1114.0,2512.0,3,458,821.0,16329,5716,76.15
23,서울방배경찰서,2020,12.0,147.0,1196.0,211.0,705.0,1,141,4.0,12616,1075,79.05000000000003
24,서울서대문경찰서,2020,152.0,390.0,3385.0,586.0,1764.0,3,322,401.0,19288,28080,76.15
25,서울서부경찰서,2020,21.0,221.0,1448.0,368.0,800.0,2,221,241.0,44183,1833,73.1
26,서울서초경찰서,2020,52.0,660.0,5148.0,944.0,2280.0,1,339,5.0,12616,2824,79.9
27,서울성동경찰서,2020,78.0,355.0,2833.0,686.0,1546.0,0,320,818.0,15530,16102,75.65
28,서울성북경찰서,2020,43.0,304.0,1583.0,290.0,825.0,0,252,535.0,30625,6105,76.6
29,서울송파경찰서,2020,227.0,790.0,7222.0,1248.0,3737.0,1,538,879.0,31786,27887,79.69999999999997
30,서울수서경찰서,2020,45.0,361.0,3106.0,497.0,1673.0,1,312,760.0,21113,996,78.55
31,서울양천경찰서,2020,99.0,449.0,3584.0,650.0,1970.0,0,376,677.0,33214,10352,76.55000000000003
32,서울영등포경찰서,2020,81.0,577.0,6838.0,1435.0,3826.0,3,513,1102.0,13120,14743,72.44999999999997
33,서울용산경찰서,2020,56.0,447.0,3162.0,1001.0,1578.0,0,343,1024.0,10987,5966,77.6
34,서울은평경찰서,2020,38.0,284.0,2317.0,566.0,1374.0,2,203,291.0,44183,2375,73.15
35,서울종로경찰서,2020,61.0,290.0,1903.0,670.0,1333.0,2,285,68.0,5516,2695,79.6
36,서울종암경찰서,2020,52.0,251.0,1716.0,351.0,986.0,0,176,502.0,30625,3798,74.6
37,서울중랑경찰서,2020,127.0,649.0,4686.0,898.0,2590.0,2,406,1780.0,46362,4028,68.75
38,서울중부경찰서,2020,113.0,257.0,2380.0,621.0,1308.0,0,236,406.0,6478,6758,73.05
39,서울혜화경찰서,2020,50.0,269.0,1534.0,507.0,966.0,2,213,42.0,5516,6917,71.75
40,충남세종경찰서,2020,26.0,653.0,1925.0,91.0,1138.0,2,178,39.0,19178,7244,76.35
